Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2_O,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,qv_Ex_increment,qv_Ex_start,qv_Ex_bin_index,Ex_qvcenter,qv_W2_increment,qv_W2_start,qv_W2_bin_index,W2_qvcenter,Q2_Ex_increment,Q2_Ex_start,Q2_Ex_bin_index,Ex_q2center,Q2_W2_increment,Q2_W2_start,Q2_W2_bin_index,W2_q2center,nu_Ex_qvcenter,nu_Ex_q2center,epsilon_Ex_qvcenter,epsilon_Ex_q2center,nu_W2_qvcenter,nu_W2_q2center,epsilon_W2_qvcenter,epsilon_W2_q2center,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_qv_ex,bc_qv_w2,bc_q2_ex,bc_q2_w2
26,56,0.1503,90.0,0.00123,85208.0,1821.5,Altemus:1973,0.0089,0.15919999999999998,0.14906999999999998,0.15796999999999997,1.0198,0.0,0.041483200000000005,86895.1184,4055.1600273700587,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.0007981824072823185,4.433234524286382,1.1219362118521883,0.044810442,0.050297648,0.0502991609,0.22427474423126648,0.837853932109,0.832366726109,0.3333266492581965,-0.0002964091014331985,-293159413.7286756,-6145222.907099261,0.0011792636416784277,0.0011133374707554503,317.14175067925333,282.67360241068303,27558069.974857002,1286060.5503646694,70.77440259495161,3.302849845291695,24562956.15003083,1146286.6932884986,63.08237656231023,2.9438838058708057,"[0.223,0.270]",0.24,"[0.045,0.070]",0.056,0.0006,0.0,1,0.0009,0.018,0.919083522529,-5,0.8380835225290001,0.003,0.0,0,0.0015,0.01,0.918183522529,-9,0.8331835225290001,0.001452088245180505,0.00203677211017999,0.333325198356476,0.33331687208030475,0.008132580356012054,0.0047040147163991955,0.333078070264426,0.33324554790885264,0.02795373,8.672548e-11,0.0267701,1.609161e-10,0.08653142,5.844266e-07,0.006868418,2.584602e-11,0.03884697,2.889199e-10,0.0267599,1.6062e-10,0.05273106,1.115014e-09,0.006868418,2.584602e-11,1.0442100777080734,12.58918228378486,1.4516433402068452,7.675454731789297
26,56,0.1503,90.0,0.00362,119440.0,1139.8,Altemus:1973,0.0089,0.15919999999999998,0.14667999999999998,0.15557999999999997,1.0198,0.0,0.04173813333333334,121804.91200000001,5215.097014263488,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.0031881824072823185,4.433234524286382,1.1219362118521883,0.044092007999999995,0.049536672,0.049549776399999995,0.2225977906449208,0.8430573110490001,0.8376126470490001,0.3332745571724182,-0.0002639868274261531,-461405264.7534974,-4317639.6758616455,0.0011792636416784277,0.0011133374707554503,317.2408920579168,282.7619687345579,38641498.93991606,1654442.0289735275,99.23877126885792,4.248924047852833,34441796.71865958,1474631.0988948587,88.45313148866641,3.787135135640506,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0006,0.0,5,0.0032999999999999995,0.014,0.9346585225290001,-7,0.8436585225290001,0.003,0.0,1,0.0045000000000000005,0.01,0.918183522529,-9,0.8331835225290001,0.003702687300751961,0.005036772110179991,0.33326082948362906,0.3332326928023061,0.002834604118147621,0.0047040147163991955,0.33329084279134047,0.33324554790885264,0.0730304,2.212914e-08,0.07258393,1.085717e-08,0.02869541,6.266099e-10,0.03745509,4.266439e-10,0.08676782,9.509142e-08,0.07257308,1.083418e-08,0.05273106,1.115014e-09,0.03745509,4.266439e-10,1.0061098740683025,0.7661658979997326,1.195443874348555,1.4077251154704145
26,56,0.1503,90.0,0.00742,95248.0,1775.1,Altemus:1973,0.0089,0.15919999999999998,0.14287999999999998,0.15177999999999997,1.0198,0.0,0.04214346666666667,97133.91040000001,4475.960820880842,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.006988182407282319,4.433234524286382,1.1219362118521883,0.042949728,0.048326752,0.048381808400000004,0.21995865156888011,0.8513304658490001,0.845953441849,0.333080358122296,-0.00021241172009880767,-457290729.3195318,-8356883.5051770015,0.0011792636416784277,0.0011133374707554503,317.6107980982193,283.0916720068071,30850778.804544926,1421613.488576325,79.2307096060341,3.6509757565283394,27497801.10369539,1267107.2326201184,70.61962058897561,3.2541740947116744,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0006,0.0,11,0.006899999999999999,0.014,0.9346585225290001,-7,0.8436585225290001,0.003,0.0,2,0.0075,0.01,0.918183522529,-8,0.8431835225290001,0.0073023075938820625,0.00803677211017999,0.33305124590329943,0.3330772219068818,0.002834604118147621,0.010032954161528709,0.33329084279134047,0.3329343663137134,0.07785775,8.24221e-06,0.07821021,7.091232e-06,0.02869541,6.266099e-10,0.08978168,4.812641e-07,0.07185492,1.184978e-05,0.07821571,7.077678e-06,0.07159622,1.231765e-05,0.08978168,4.812641e-07,0.9954291783837529,0.3198126079221276,0.9187704036029043,0.7972983562321204
26,56,0.1503,90.0,0.00961,88073.0,1193.1,Altemus:1973,0.0089,0.15919999999999998,0.14068999999999998,0.14958999999999997,1.0198,0.0,0.04237706666666667,89816.8454,3995.920381030534,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.009178182407282319,4.433234524286382,1.1219362118521883,0.042291414,0.047629456,0.0477218081,0.21845321718848637,0.856098415589,0.850760373589,0.3329030073067796,-0.00018268389242024675,-491651695.23202944,-6530953.463895919,0.0011792636416784275,0.00111333747075545,317.949036105348,283.39314904583614,28557179.42095306,1270499.0335023731,73.34030703742295,3.2628848890953748,25453478.655269023,1132416.4601166805,65.36940894023421,2.908262390166305,"[0.186,0.223]",0.205,"[0.045,0.070]",0.056,0.0006,0.0,15,0.0093,0.014,0.9346585225290001,-6,0.8576585225290001,0.003,0.0,3,0.0105,0.01,0.918183522529,-7,0.8531835225290001,0.009701916483635387,0.01103677211017999,0.332835230294086,0.332850658911081,0.010243485111882555,0.015361893606658223,0.33277802160257197,0.33239949740637337,0.05489716,0.0001573227,0.0576659,0.0001150018,0.06347471,5.542711e-05,0.07340879,1.436344e-05,0.04646568,0.0003803359,0.05767642,0.0001148161,0.02766153,0.00227304,0.07340879,1.436344e-05,0.9530393047790625,0.8652319920064208,0.8129906081844959,0.4228227603994773
26,56,0.1503,90.0,0.01869,95613.0,1465.7,Altemus:1973,0.0089,0.15919999999999998,0.13161,0.14051,1.0198,0.0,0.0433456,97506.1374,4482.986921050599,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.018258182407282317,4.433234524286382,1.1219362118521883,0.039561966000000004,0.044738384,0.045087700099999996,0.21233864485768952,0.8758669012690001,0.8706904832690001,0.3316072131938614,-5.954725668168844e-05,-1637458093.5142293,-24614064.218523804,0.0011792636416784277,0.0011133374707554503,320.43268244035414,285.60686343420224,31244153.16147974,1436495.5244572677,80.24097030765928,3.6891956754062334,27848422.06839836,1280371.8333378134,71.52008238970254,3.2882401302617676,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,30,0.018299999999999997,0.014,0.9346585225290001,-5,0.8716585225290001,0.005,0.0,3,0.0175,0.008,0.934183522529,-8,0.874183522529,0.01869946704982084,0.017883408650128566,0.3314791852570663,0.33156599646938223,0.01759494199251188,0.018026363329222927,0.33169227816568897,0.33153778121053945,0.02338971,0.01242739,0.02286738,0.01243328,0.02163926,0.007885635,0.02157023,0.009709258,0.02269657,0.01128531,0.022856,0.01243363,0.02170263,0.008839861,0.02157023,0.009709257,1.0123384192877636,0.9256375368211015,0.9543944661848676,0.9672655758727353
26,56,0.1503,90.0,0.02479,90954.0,1483.4,Altemus:1973,0.0089,0.15919999999999998,0.12550999999999998,0.13440999999999997,1.0198,0.0,0.04399626666666667,92754.8892,4352.237074760599,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.024358182407282318,4.433234524286382,1.1219362118521883,0.037728305999999996,0.042796143999999994,0.0434106881,0.2083523172417336,0.889147491869,0.884079653869,0.33017252555029214,2.2889633032452497e-05,4052266328.1011906,64806630.92749731,0.001179263641678428,0.0011133374707554505,323.2081087337484,288.08064604686285,29979132.314140387,1406678.313694275,76.99215445000715,3.6126193665165354,26720888.404741183,1253795.268246142,68.6243599561707,3.2199864202194823,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,40,0.0243,0.014,0.9346585225290001,-4,0.885658522529,0.005,0.0,4,0.0225,0.008,0.934183522529,-7,0.882183522529,0.024696972302017173,0.022883408650128563,0.330092375555766,0.33044933460962805,0.024890289649787234,0.022289514885326538,0.3300411877794322,0.33059587565369974,0.03447983,0.01227658,0.03402595,0.01211392,0.0331044,0.01246858,0.03235486,0.01238243,0.03259953,0.01278024,0.03399793,0.01210508,0.02787349,0.01343413,0.03235486,0.01238243,1.0133413024152012,1.01713043131757,0.9931833892732647,0.9441454480521594
26,56,0.1503,90.0,0.03092,97369.0,1583.7,Altemus:1973,0.0089,0.15919999999999998,0.11937999999999999,0.12827999999999998,1.0198,0.0,0.044650133333333335,99296.9062,4718.622379124226,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.030488182407282318,4.433234524286382,1.1219362118521883,0.035885628,0.040844351999999993,0.041800398399999994,0.2044514573193353,0.9024933968490001,0.897534672849,0.3282116851790048,0.00010529553976476927,943030506.532658,15040523.117484305,0.0011792636416784275,0.00111333747075545,327.0454543920449,291.50093466733756,32474601.80790326,1543204.0000851548,83.40099813086475,3.963243481412679,28945140.966874946,1375482.8338569282,74.33666660351328,3.5325033986288914,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,50,0.030299999999999997,0.014,0.9346585225290001,-3,0.899658522529,0.005,0.0,6,0.0325,0.008,0.934183522529,-5,0.898183522529,0.03069378839793302,0.032883408650128565,0.3283140899991754,0.3274323552609059,0.03213079354627424,0.030815817997533763,0.3278291409276415,0.328139892573651,0.02887734,0.01148632,0.02876734,0.01149591,0.02887983,0.01148601,0.03003247,0.01146224,0.02794493,0.01185834,0.02875866,0.01149958,0.03023046,0.01146239,0.03003247,0.01146224,1.002050619935866,0.9766582530953148,0.9945327272175087,1.0041214945961998
26,56,0.1503,90.0,0.03703,95254.0,1639.1,Altemus:1973,0.0089,0.15919999999999998,0.11326999999999998,0.12216999999999999,1.0198,0.0,0.04530186666666667,97140.0292,4707.3974438145515,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.03659818240728232,4.433234524286382,1.1219362118521883,0.034048962,0.038898928,0.0402701489,0.20067423576533186,0.9157957589090001,0.9109457929090001,0.3256796729839487,0.00018679513602711927,520035110.47470224,8774853.750806618,0.0011792636416784275,0.00111333747075545,332.0772432246044,295.9858499231279,32257993.103493575,1563219.5659044858,82.84470548535478,4.014647288528182,28752074.10431946,1393323.0333334096,73.84083391745388,3.5783204482725974,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,60,0.0363,0.014,0.9346585225290001,-2,0.913658522529,0.005,0.0,7,0.0375,0.008,0.934183522529,-3,0.914183522529,0.03668991557509571,0.03788340865012856,0.32613825962541226,0.32554651753908964,0.03931767228007044,0.03934212110974099,0.3250574679748385,0.3249506755686408,0.02733392,0.01313222,0.02722063,0.01300233,0.0270085,0.01347075,0.02751021,0.01262228,0.02699961,0.01340648,0.02722498,0.01301486,0.02698271,0.01342052,0.02751021,0.01262228,1.0065718205753593,1.0179938605442462,1.00832689186101,1.015802774214113
26,56,0.1503,90.0,0.04315,93147.0,1712.0,Altemus:1973,0.0089,0.15919999999999998,0.10715,0.11605,1.0198,0.0,0.045954666666666664,94991.3106,4701.483836598339,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.04271818240728232,4.433234524286382,1.1219362118521883,0.03220929,0.03695032,0.038812242500000003,0.19700822952354047,0.9291198924290001,0.924378862429,0.32249952334634135,0.00026756229629383034,355025023.76374763,6398509.8936358495,0.001179263641678428,0.0011133374707554505,338.52239013991596,301.73051423400824,32156685.506835133,1591557.5455694518,82.58452817110988,4.087424648603315,28661776.995100398,1418581.1356796948,73.60893364407258,3.643188093425957,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,71,0.042899999999999994,0.014,0.9346585225290001,-1,0.927658522529,0.005,0.0,8,0.0425,0.008,0.934183522529,-2,0.922183522529,0.043284860052111185,0.04288340865012857,0.32327666304029307,0.3234205645204506,0.046452099979176875,0.043605272665844595,0.3217245195417979,0.32309436622361226,0.02478713,0.01434329,0.02447676,0.01369663,0.02405766,0.01440297,0.02506092,0.01363193,0.02495395,0.0143034,0.02449336,0.01371906,0.02524854,0.01423191,0.02506092,0.01363193,1.0286502659399526,1.0058817059917269,1.029583655691583,1.0242967985833908
26,56,0.1503,90.0,0.04927,89152.0,1801.0,Altemus:1973,0.0089,0.15919999999999998,0.10102999999999998,0.10992999999999999,1.0198,0.0,0.046607466666666666,90917.2096,4618.338921257908,1.5707963267948966,0.5000000000000001,0.5000000000000001,0.9999999999999998,0.0004318175927176815,0.04883818240728232,4.433234524286382,1.1219362118521883,0.030369617999999998,0.035001712,0.0374292449,0.1934663921718705,0.942444025949,0.937811931949,0.3186022911529005,0.0003472089886194627,261851543.53721032,5187077.69392997,0.0011792636416784277,0.0011133374707554503,346.61688001359386,308.9452647591872,31513439.531093962,1600794.2277317627,80.93254928811031,4.11114621773328,28088441.391038515,1426813.9407756831,72.13649798726073,3.664331513951446,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,81,0.0489,0.014,0.9346585225290001,0,0.9416585225290001,0.005,0.0,9,0.0475,0.008,0.934183522529,0,0.9381835225290001,0.04927954127236944,0.047883408650128564,0.32023970129136553,0.3210642853455248,0.053535208540844814,0.05213157577805182,0.3178257054539134,0.3188892389155274,0.02249333,0.01415833,0.0215824,0.01290008,0.02147461,0.01373491,0.02203659,0.01306937,0.02304965,0.01439072,0.02161084,0.01293366,0.022099,0.01415372,0.02203659,0.01306937,1.068464983555753,1.0133100724834248,1.087505124343139,1.0425453121491302
