q_0.3_RL_x,q_0.3_RL_y,q_0.3_RL_yerr,,q_0.38_RL_x,q_0.38_RL_y,q_0.38_RL_yerr,,q_0.57_RL_x,q_0.57_RL_y,q_0.57_RL_yerr,,q_0.3_RT_x,q_0.3_RT_y,q_0.3_RT_yerr,,q_0.38_RT_x,q_0.38_RT_y,q_0.38_RT_yerr,,q_0.57_RT_x,q_0.57_RT_y,q_0.57_RT_yerr
0.03,0.0796,0.0048,,0.019473801,0.031454913,0.00244746,,0.024793652,0.000568395,0.000254371,,0.030186913,0.035396825,0.002698413,,0.019550342,0.021233514,0.001757188,,0.025101296,0.002031125,0.00031405
0.04,0.0832,0.0051,,0.029772954,0.036692466,0.001923068,,0.04412127,0.002441316,0.00034976,,0.040365403,0.044761905,0.002539683,,0.029814272,0.029134304,0.001517572,,0.045155705,0.008145703,0.000471035
0.05,0.08455,0.00555,,0.039602992,0.040793983,0.002360209,,0.064647583,0.004949976,0.00069952,,0.050027859,0.053412698,0.002936508,,0.039589443,0.040150422,0.001837061,,0.065445671,0.016850456,0.000706433
0.06,0.09385,0.00375,,0.049670914,0.045944285,0.002971852,,0.084189678,0.007426997,0.001144637,,0.060065436,0.058015873,0.003095238,,0.049364614,0.049808713,0.002236422,,0.08474892,0.028224356,0.001255881
0.07,0.09665,0.00405,,0.05974065,0.051356824,0.003146919,,0.104571859,0.011716284,0.001494491,,0.070190152,0.060793651,0.003333333,,0.059384164,0.058668125,0.002635783,,0.105263882,0.038655865,0.001334373
0.08,0.0971,0.0039,,0.069568874,0.055196105,0.003671472,,0.124629199,0.018326768,0.00225751,,0.079892452,0.061825397,0.003571429,,0.069403715,0.065770349,0.002875399,,0.124956633,0.048538246,0.001962314
0.09,0.09635,0.00435,,0.079515435,0.059472366,0.003933547,,0.143763913,0.020326905,0.002543646,,0.089874312,0.059603175,0.003571429,,0.079056696,0.070396769,0.003354555,,0.144860938,0.059048488,0.002433349
0.1,0.08435,0.00405,,0.089457158,0.06304933,0.004195784,,0.16434744,0.024775143,0.002925265,,0.09983803,0.05515873,0.004047619,,0.088954057,0.073345716,0.003594249,,0.164916307,0.065241559,0.002511682
0.11,0.07595,0.00375,,0.099506936,0.065577267,0.004283277,,0.183689127,0.027125009,0.003434006,,0.109838354,0.042698413,0.003333333,,0.099217986,0.074537241,0.003354633,,0.185151544,0.069472236,0.002825572
0.12,0.0693,0.0051,,0.109558528,0.068367441,0.004283196,,0.203733961,0.026644875,0.003338617,,0.119863298,0.033253968,0.006269841,,0.108993157,0.074051762,0.003514221,,0.204510802,0.068758201,0.00274716
0.13,0.06105,0.00465,,0.119578067,0.06652477,0.004370689,,0.224033603,0.028136083,0.003434037,,0.129804989,0.026111111,0.00531746,,0.118768328,0.073646154,0.003594249,,0.224047048,0.065846295,0.002825652
0.14,0.054,0.0042,,0.129373027,0.065556382,0.004283196,,0.24384145,0.026288737,0.003497599,,0.139757046,0.020238095,0.005,,0.128787879,0.067888953,0.00327476,,0.244181469,0.061835254,0.00274724
,,,,0.139248223,0.059518007,0.004020798,,0.263632413,0.023869057,0.00349763,,,,,,0.138685239,0.062371447,0.003035066,,0.264337014,0.059551048,0.002668667
,,,,0.149471173,0.053741628,0.003846216,,0.284117143,0.018301412,0.003465865,,,,,,0.1485826,0.056694196,0.002955272,,0.28412706,0.060720675,0.00274724
,,,,0.159465915,0.048315058,0.003321662,,0.304191991,0.018838761,0.004006341,,,,,,0.15872434,0.05101679,0.002875477,,0.304550808,0.063695391,0.00306121
,,,,0.169105646,0.041577548,0.003059587,,0.323915422,0.014129743,0.004260743,,,,,,0.168743891,0.047336266,0.002715733,,0.324610018,0.070202432,0.003296687
,,,,0.179441489,0.035451439,0.003583899,,0.344648395,0.010310866,0.005596189,,,,,,0.17913001,0.046051674,0.003354633,,0.344746039,0.082988878,0.00368915
,,,,0.189576341,0.033608687,0.002972014,,,,,,,,,,0.18914956,0.042451023,0.002476038,,,,
,,,,0.199312637,0.024161319,0.003671392,,,,,,,,,,0.1992913,0.047476491,0.003354711,,,,
,,,,0.209113645,0.024067053,0.00358406,,,,,,,,,,0.20931085,0.048268811,0.003354711,,,,
