XSCode_nu,XSCode_RT,XSCode_RTerr,,Bianchi_nu,Bianchi_RT,Bianchi_RTerr,,Morejon_nu,Morejon_cross,Morejon_RT,Morejon_RTerr
0.00169912,3.16E-07,1.58E-08,,0.301,0.115973848,0.007405736,,0.01123,1.99117,0.000398572,1.99E-05
0.00214397,7.17E-07,3.58E-08,,0.317,0.133213312,0.007790968,,0.01123,2.39661,0.000479728,2.40E-05
0.00232973,9.99E-07,4.99E-08,,0.343,0.140202027,0.007701677,,0.01125,2.10102,0.000421309,2.11E-05
0.00261706,1.54E-06,7.72E-08,,0.369,0.152302891,0.008987631,,0.01127,2.16321,0.000434551,2.17E-05
0.00294007,2.56E-06,1.28E-07,,0.389,0.145996926,0.007933282,,0.01134,2.75225,0.000556313,2.78E-05
0.00347149,4.79E-06,2.40E-07,,0.408,0.144779154,0.008776416,,0.01137,2.29573,0.000465264,2.33E-05
0.00403131,8.22E-06,4.11E-07,,0.439,0.140223488,0.00798703,,0.0114,2.45649,0.000499158,2.50E-05
0.00452886,1.36E-05,6.82E-07,,0.465,0.135067919,0.008000244,,0.01145,2.60893,0.000532459,2.66E-05
0.00532556,2.64E-05,1.32E-06,,0.49,0.123988187,0.007299968,,0.01149,2.80524,0.000574524,2.87E-05
0.00610866,4.92E-05,2.46E-06,,0.514,0.127752301,0.007044513,,0.01156,2.97542,0.00061309,3.07E-05
0.00709493,9.81E-05,4.91E-06,,0.54,0.129093847,0.006907796,,0.01156,3.14382,0.000647789,3.24E-05
0.00810527,0.000197717,9.89E-06,,0.568,0.125015308,0.008036136,,0.01162,3.24449,0.000672002,3.36E-05
0.00895672,0.000346401,1.73E-05,,0.598,0.131021321,0.008300242,,0.01167,3.4274,0.000712941,3.56E-05
0.01006409,0.000686355,3.43E-05,,0.616,0.122667603,0.007802437,,0.01171,3.61342,0.000754212,3.77E-05
0.01075684,0.000974161,4.87E-05,,0.636,0.130776769,0.007430664,,0.01178,3.82834,0.000803848,4.02E-05
0.01188456,0.001429225,7.15E-05,,0.664,0.136202843,0.008036145,,0.01185,4.12641,0.000871583,4.36E-05
0.01297086,0.002473093,0.000123655,,0.684,0.134160579,0.008111818,,0.01187,4.03034,0.000852728,4.26E-05
0.01380797,0.003888323,0.000194416,,0.717,0.138486166,0.008330653,,0.01189,4.57677,0.000969972,4.85E-05
0.01520066,0.00933721,0.000466861,,0.751,0.136807237,0.009960828,,0.0119,4.3596,0.000924723,4.62E-05
0.01618477,0.017530912,0.000876546,,0.768,0.141820566,0.009202445,,0.01194,4.75472,0.001011923,5.06E-05
0.01687298,0.022608334,0.001130417,,0.788,0.140401163,0.011658364,,0.01201,5.04458,0.001079907,5.40E-05
0.01773473,0.026429607,0.00132148,,0.817,0.141898424,0.011829719,,0.01207,5.34912,0.001150821,5.75E-05
0.01926471,0.026744572,0.001337229,,0.84,0.149666214,0.010065175,,0.01212,5.67788,0.001226612,6.13E-05
0.02024318,0.024387435,0.001219372,,0.865,0.151962014,0.012747082,,0.01217,6.02009,0.001305906,6.53E-05
0.02092028,0.020373989,0.001018699,,0.895,0.159019105,0.012984265,,0.01224,6.37636,0.001391145,6.96E-05
0.02170892,0.016495732,0.000824787,,0.908,0.155437656,0.014052759,,0.01224,7.3865,0.00161153,8.06E-05
0.02271118,0.011684552,0.000584228,,0.936,0.154625143,0.011964761,,0.01231,6.72725,0.001476093,7.38E-05
0.02465916,0.007723251,0.000386163,,0.973,0.15442451,0.013926899,,0.0124,7.11398,0.001572362,7.86E-05
0.02778886,0.004935706,0.000246785,,1.044,0.166213943,0.016017085,,0.0124,7.59944,0.001679661,8.40E-05
0.03318763,0.003588432,0.000179422,,1.081,0.159156354,0.018047821,,0.01247,8.06048,0.001791619,8.96E-05
0.04253441,0.003342726,0.000167136,,1.119,0.163634162,0.017558706,,0.01253,8.51438,0.001901614,9.51E-05
0.04937054,0.003711781,0.000185589,,1.163,0.167746639,0.024695923,,0.01259,8.98881,0.002017187,0.000100859
0.05923687,0.0043367,0.000216835,,,,,,0.01261,9.47953,0.002130689,0.000106534
0.07347263,0.005475084,0.000273754,,,,,,0.01271,9.96798,0.002258244,0.000112912
0.08388247,0.006140991,0.00030705,,,,,,0.01277,10.48314,0.002386165,0.000119308
0.10063709,0.006624233,0.000331212,,,,,,0.01283,11.07451,0.002532616,0.000126631
0.1148847,0.006799076,0.000339954,,,,,,0.01288,11.72223,0.00269119,0.00013456
0.12479586,0.006880112,0.000344006,,,,,,0.01296,12.44734,0.00287541,0.000143771
0.12899475,0.006863901,0.000343195,,,,,,0.01296,13.11391,0.003029392,0.00015147
0.135588,0.008313914,0.000415696,,,,,,0.01308,13.67226,0.003187618,0.000159381
0.15745346,0.014259302,0.000712965,,,,,,0.01314,14.41925,0.003377196,0.00016886
0.17110904,0.021319991,0.001066,,,,,,0.01319,15.19347,0.00357207,0.000178604
0.19870277,0.036566129,0.001828306,,,,,,0.0132,17.58817,0.004138213,0.000206911
0.23460061,0.063762466,0.003188123,,,,,,0.01331,15.87359,0.003765923,0.000188296
0.2591658,0.084100031,0.004205002,,,,,,0.01333,16.75359,0.003980671,0.000199034
0.29595885,0.118803316,0.005940166,,,,,,0.01346,18.32675,0.004396922,0.000219846
0.34358119,0.15339663,0.007669832,,,,,,0.01356,19.31178,0.004667671,0.000233384
0.41904496,0.151240563,0.007562028,,,,,,0.01356,19.99917,0.004833814,0.000241691
0.47829768,0.134688563,0.006734428,,,,,,0.01359,22.9366,0.005556058,0.000277803
0.5459757,0.129919045,0.006495952,,,,,,0.01364,21.04629,0.005116915,0.000255846
0.71150406,0.13565915,0.006782958,,,,,,0.01373,22.25596,0.005446721,0.000272336
0.91209737,0.156359202,0.00781796,,,,,,0.01385,24.09269,0.005947758,0.000297388
1.21361132,0.18214821,0.00910741,,,,,,0.01385,26.83734,0.006625329,0.000331266
0.47829768,0.134688563,0.006734428,,,,,,0.014,25.90335,0.006464013,0.000323201
0.5459757,0.129919045,0.006495952,,,,,,0.01411,27.98523,0.007038403,0.00035192
0.71150406,0.13565915,0.006782958,,,,,,0.01423,30.19238,0.00765809,0.000382905
0.91209737,0.156359202,0.00781796,,,,,,0.01439,32.44595,0.008322226,0.000416111
1.21361132,0.18214821,0.00910741,,,,,,0.01456,34.79934,0.009031307,0.000451565
,,,,,,,,0.01464,37.18902,0.00970452,0.000485226
,,,,,,,,0.0148,39.60438,0.01044776,0.000522388
,,,,,,,,0.01497,41.93491,0.011189631,0.000559482
,,,,,,,,0.01511,44.57283,0.012004744,0.000600237
,,,,,,,,0.01523,47.01247,0.012762367,0.000638118
,,,,,,,,0.01538,49.24213,0.013499305,0.000674965
,,,,,,,,0.01552,51.55529,0.014262091,0.000713105
,,,,,,,,0.01569,54.23495,0.015167724,0.000758386
,,,,,,,,0.01579,57.23553,0.016108907,0.000805445
,,,,,,,,0.01613,60.90489,0.017510751,0.000875538
,,,,,,,,0.01644,64.91459,0.019022271,0.000951114
,,,,,,,,0.01675,69.43307,0.020730006,0.0010365
,,,,,,,,0.01707,73.48379,0.022358533,0.001117927
,,,,,,,,0.01764,77.38068,0.024330406,0.00121652
,,,,,,,,0.01843,80.2371,0.026358385,0.001317919
,,,,,,,,0.0192,79.00412,0.027037667,0.001351883
,,,,,,,,0.01951,75.92125,0.026402124,0.001320106
,,,,,,,,0.01988,72.07871,0.025541219,0.001277061
,,,,,,,,0.02027,68.28862,0.024672907,0.001233645
,,,,,,,,0.02044,64.89302?,0.023642702,0.001182135
,,,,,,,,0.02087,60.53563?,0.022519138,0.001125957
,,,,,,,,0.02109,56.81014?,0.021356038,0.001067802
,,,,,,,,0.02125,54.35625?,0.020588593,0.00102943
,,,,,,,,0.02142,51.61155?,0.019705371,0.000985269
,,,,,,,,0.02157,49.29291?,0.018951904,0.000947595
,,,,,,,,0.02177,46.8808,0.018191633,0.000909582
,,,,,,,,0.02204,44.86268?,0.017624429,0.000881221
,,,,,,,,0.02212,42.95018?,0.016934343,0.000846717
,,,,,,,,0.02225,40.74038?,0.016157469,0.000807873
,,,,,,,,0.02251,38.47888?,0.015438893,0.000771945
,,,,,,,,0.02276,35.99384?,0.014602213,0.000730111
,,,,,,,,0.02298,33.9034,0.013887099,0.000694355
,,,,,,,,0.0232,31.93436?,0.013205792,0.00066029
,,,,,,,,0.02337,30.04455?,0.01251534,0.000625767
,,,,,,,,0.02358,28.31321?,0.011900115,0.000595006
,,,,,,,,0.02381,26.76575?,0.011359443,0.000567972
,,,,,,,,0.02401,25.2427,0.010803046,0.000540152
,,,,,,,,0.02433,23.75339?,0.010301156,0.000515058
,,,,,,,,0.02456,22.3858,0.009799845,0.000489992
,,,,,,,,0.0248,21.10822?,0.009330857,0.000466543
,,,,,,,,0.02504,20.03033?,0.008940065,0.000447003
,,,,,,,,0.02523,18.93321?,0.008514512,0.000425726
,,,,,,,,0.02552,17.9485,0.008164453,0.000408223
,,,,,,,,0.02576,17.15512,0.007876946,0.000393847
,,,,,,,,0.02605,16.13162,0.007490382,0.000374519
,,,,,,,,0.02651,15.04021,0.007106927,0.000355346
,,,,,,,,0.02676,14.27039,0.006806756,0.000340338
,,,,,,,,0.02698,13.71921,0.00659765,0.000329883
,,,,,,,,0.02754,12.88302,0.006324116,0.000316206
,,,,,,,,0.02807,11.95688,0.005982442,0.000299122
,,,,,,,,0.02861,11.15863,0.005690455,0.000284523
,,,,,,,,0.0289,10.59646,0.005458545,0.000272927
,,,,,,,,0.02944,9.95867,0.005225855,0.000261293
,,,,,,,,0.03,9.29841,0.004972195,0.00024861
,,,,,,,,0.03038,8.8333?,0.004783315,0.000239166
,,,,,,,,0.03087,8.3208?,0.004578466,0.000228923
,,,,,,,,0.03146,7.78351,0.00436468,0.000218234
,,,,,,,,0.03179,7.40885,0.004198166,0.000209908
,,,,,,,,0.03244,7.07646,0.004091807,0.00020459
,,,,,,,,0.033,?6.76403,0.003978668,0.000198933
,,,,,,,,0.03357,6.46822,0.003870387,0.000193519
,,,,,,,,0.03439,6.17218,0.003783459,0.000189173
,,,,,,,,0.03543,5.89676,0.003723941,0.000186197
,,,,,,,,0.03684,5.6279?,0.003695594,0.00018478
,,,,,,,,0.03822,5.39427,0.003674867,0.000183743
,,,,,,,,0.03982,5.15857,0.003661414,0.000183071
,,,,,,,,0.04176,4.92925,0.0036691,0.000183455
,,,,,,,,0.04377,4.70871,0.003673641,0.000183682
,,,,,,,,0.04604,4.5016?,0.0036942,0.00018471
,,,,,,,,0.04885,4.3596?,0.003796028,0.000189801
,,,,,,,,0.05192,4.22024,0.003905621,0.000195281
,,,,,,,,0.05518,4.1353,0.004067307,0.000203365
,,,,,,,,0.05865,4.09299,0.004278849,0.000213942
,,,,,,,,0.06233,4.08725,0.004540948,0.000227047
,,,,,,,,0.06625,4.11409,0.004858228,0.000242911
,,,,,,,,0.07041,4.1382,0.005193547,0.000259677
,,,,,,,,0.07483,4.14497,0.005528603,0.00027643
,,,,,,,,0.07954,4.1382,0.005866989,0.000293349
,,,,,,,,0.08453,4.10065,0.006178482,0.000308924
,,,,,,,,0.08984,4.05301,0.006490313,0.000324516
,,,,,,,,0.09549,3.9891?,0.006789707,0.000339485
,,,,,,,,0.10149,3.91246,0.007077688,0.000353884
,,,,,,,,0.10786,3.83819,0.007379129,0.000368956
,,,,,,,,0.11464,3.76886,0.007701307,0.000385065
,,,,,,,,0.12184,3.72159,0.008082331,0.000404117
,,,,,,,,0.1295,3.72768,0.00860452,0.000430226
,,,,,,,,0.13821,3.79248,0.009342885,0.000467144
,,,,,,,,0.1438,3.83909,0.009840234,0.000492012
