Z,A,E0,ThetaDeg,nu,cross,error,ratio,ratio_error,dataSet,Veff,Eeff,Ep,Ep_eff,normalization,normError,system_err,normCross,normCrossError,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,R,F2foc,Q2,Q2eff,qv2,qv,W2_O,W2,epsilon,gamma,Sig_R,D_sig_R,Sig_mott,Sig_mott_eff,H,Hcc,Hstar_Sig(nb),Hstar_error(nb),Hstar_Sig(GeV),Hstar_error(GeV),Hcc_Sig(nb),Hcc_error(nb),Hcc_Sig(GeV),Hcc_error(GeV),qvbin,qvcenter,Q2bin,Q2center,qv_Ex_increment,qv_Ex_start,qv_Ex_bin_index,Ex_qvcenter,qv_W2_increment,qv_W2_start,qv_W2_bin_index,W2_qvcenter,Q2_Ex_increment,Q2_Ex_start,Q2_Ex_bin_index,Ex_q2center,Q2_W2_increment,Q2_W2_start,Q2_W2_bin_index,W2_q2center,nu_Ex_qvcenter,nu_Ex_q2center,epsilon_Ex_qvcenter,epsilon_Ex_q2center,nu_W2_qvcenter,nu_W2_q2center,epsilon_W2_qvcenter,epsilon_W2_q2center,RL_qvc_ex,RT_qvc_ex,RL_qvd_ex,RT_qvd_ex,RL_qvc_w2,RT_qvc_w2,RL_qvd_w2,RT_qvd_w2,RL_q2c_ex,RT_q2c_ex,RL_q2d_ex,RT_q2d_ex,RL_q2c_w2,RT_q2c_w2,RL_q2d_w2,RT_q2d_w2,bc_qv_ex,bc_qv_w2,bc_q2_ex,bc_q2_w2
26,56,0.1003,140.0,0.0045,22173.0,443.46,1.49109,0.025606368,Altemus:1973,0.0089,0.1092,0.0958,0.1047,1.0,0.0,0.0,22173.0,443.46,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.004160559895278605,4.433234524286382,1.1853412842231033,0.033938923764750085,0.04038321993769124,0.04040346993769124,0.20100614402970682,0.8548617557642499,0.8484174595913088,0.062093154775435866,-0.000173457733267285,-127829411.70938236,-2556588.234187647,0.00019863561156775264,0.0001824464454234944,370.90737239453824,312.9118822834543,8224129.168104096,164482.58336208193,21.121139080760464,0.4224227816152093,6938195.1658710325,138763.90331742063,17.81861423531172,0.3563722847062344,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,6,0.0039,0.014,0.9346585225290001,-7,0.8436585225290001,0.005,0.0,0,0.0025,0.008,0.934183522529,-11,0.8501835225290001,0.004302641264601448,0.0028834086501285648,0.06209669025722342,0.06211024916354427,0.002834604118147621,0.005236908660912154,0.06211121709551147,0.06208243554523255,0.0814962,6.49472e-08,0.08335701,1.144222e-07,0.02869541,6.266099e-10,0.06141923,8.691134e-09,0.05748759,6.5299e-09,0.08336141,1.142085e-07,0.07437662,3.327481e-08,0.06141923,8.691133e-09,0.9777277539785948,0.4673410843956712,0.6898016043717737,1.2107602717728319
26,56,0.1003,140.0,0.0091,22173.0,443.46,1.14432,0.020129437,Altemus:1973,0.0089,0.1092,0.0912,0.10010000000000001,1.0,0.0,0.0,22173.0,443.46,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.008760559895278606,4.433234524286382,1.1853412842231033,0.032309288594417625,0.038608981048356195,0.0386917910483562,0.1967022903993652,0.8651235025345824,0.8588238100806438,0.06199764269810461,-0.00011692948627192083,-189627105.24902537,-3792542.1049805074,0.0001986356115677526,0.00018244644542349437,371.5544465729138,313.45777922215717,8238476.743861217,164769.53487722433,21.157986403661614,0.42315972807323227,6950299.338692891,139005.98677385782,17.849700069738976,0.3569940013947795,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,14,0.0087,0.014,0.9346585225290001,-6,0.8576585225290001,0.005,0.0,1,0.0075,0.008,0.934183522529,-10,0.8581835225290001,0.009102024608047543,0.007883408650128564,0.06200748449813226,0.062031964908098904,0.010243485111882555,0.009500060217015766,0.061976861478764,0.06199117651873735,0.06036172,8.158844e-05,0.05797123,9.979157e-05,0.06347471,5.542711e-05,0.07143643,1.841161e-05,0.07102595,2.039842e-05,0.05799373,9.962955e-05,0.06893059,2.678674e-05,0.07143643,1.841161e-05,1.0383281148071468,0.8926640043413613,1.211416835785036,0.965840492290299
26,56,0.1003,140.0,0.0146,28834.0,576.68,1.13203,0.019788791,Altemus:1973,0.0089,0.1092,0.0857,0.0946,1.0,0.0,0.0,28834.0,576.68,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.014260559895278605,4.433234524286382,1.1853412842231033,0.030360811760324454,0.036487608463281675,0.03670076846328167,0.1915744462690201,0.8773929823686756,0.8712661856657183,0.06178383916477857,-4.935123399755124e-05,-584260973.1183362,-11685219.462366723,0.0001986356115677526,0.00018244644542349437,373.0102001023953,314.6859095073819,10755376.109752465,215107.5221950493,27.62186610115447,0.5524373220230894,9073653.51473585,181473.07029471698,23.302880333960868,0.4660576066792173,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,23,0.014099999999999998,0.014,0.9346585225290001,-5,0.8716585225290001,0.005,0.0,2,0.0125,0.008,0.934183522529,-8,0.874183522529,0.014500803198053802,0.012883408650128565,0.061830744786049274,0.0618815278678526,0.01759494199251188,0.018026363329222927,0.06169295803956186,0.061652620729176044,0.02290671,0.004743238,0.02207357,0.005384944,0.02163926,0.007885635,0.02512434,0.003095219,0.02844585,0.0022351,0.02208059,0.005381528,0.02170263,0.008839861,0.02512434,0.003095219,0.9331758885489283,1.7070407805925498,0.7080981218513882,1.8636196876952804
26,56,0.1003,140.0,0.0199,31451.0,629.02,1.09596,0.019946584,Altemus:1973,0.0089,0.1092,0.0804,0.0893,1.0,0.0,0.0,31451.0,629.02,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.019560559895278606,4.433234524286382,1.1853412842231033,0.028483188629289218,0.0344433766994826,0.034839386699482604,0.18665311864387,0.8892162992997108,0.8832561112295174,0.06145962701478533,1.573851135832164e-05,1998346557.9398956,39966931.15879791,0.00019863561156775261,0.00018244644542349437,375.23710673061925,316.5646145334061,11801582.243784705,236031.64487569412,30.30872385987492,0.6061744771974985,9956273.691690154,199125.4738338031,25.569618019117485,0.5113923603823497,"[0.186,0.223]",0.205,"[0.025,0.035]",0.026,0.0006,0.0,32,0.0195,0.014,0.9346585225290001,-4,0.885658522529,0.005,0.0,3,0.0175,0.01,0.9481835225290001,-7,0.8831835225290001,0.019899023244164482,0.01774921562258357,0.061573063715955174,0.06142433086794312,0.024890289649787234,0.015361893606658236,0.06126266227656674,0.061597997616426446,0.02531638,0.01334019,0.0263218,0.0131397,0.0331044,0.01246858,0.023958,0.01224393,0.02197007,0.01028184,0.02631833,0.0131423,0.01896518,0.005425074,0.023958,0.01224393,1.0035377713053215,1.0901304816044404,0.7929013358358535,0.509520605324882
26,56,0.1003,140.0,0.0252,31688.0,633.76,1.24934,0.022693764,Altemus:1973,0.0089,0.1092,0.0751,0.084,1.0,0.0,0.0,31688.0,633.76,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.024860559895278606,4.433234524286382,1.1853412842231033,0.026605565498253984,0.03239914493568352,0.033034184935683525,0.18175308782984548,0.901039616230746,0.8952460367933165,0.06100098270071345,8.07717372833328e-05,392315444.3099839,7846308.886199677,0.00019863561156775261,0.00018244644542349437,378.42796688097593,319.2565482345494,11991625.414524365,239832.5082904873,30.79679112614652,0.6159358225229303,10116601.500456402,202332.03000912804,25.98137054370072,0.5196274108740144,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0006,0.0,41,0.0249,0.002,0.9487945225290001,-27,0.895794522529,0.005,0.0,4,0.0225,0.01,0.9481835225290001,-6,0.893183522529,0.025161253804057537,0.022749215622583568,0.06079789763706401,0.06098388892867342,0.0228115553482795,0.020690833051787687,0.061033991667826686,0.06117759750264818,0.03664887,0.0132906,0.03656891,0.0131686,0.03216892,0.01307047,0.03607746,0.01318779,0.03452074,0.01308156,0.03656451,0.01316502,0.02615985,0.01210818,0.03607746,0.01318779,1.0093618538174038,0.9662691710999016,0.9814561379093144,0.868921972877727
26,56,0.1003,140.0,0.0305,29976.0,599.52,1.41924,0.027033961,Altemus:1973,0.0089,0.1092,0.0698,0.0787,1.0,0.0,0.0,29976.0,599.52,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.030160559895278605,4.433234524286382,1.1853412842231033,0.02472794236721875,0.03035491317188444,0.03128516317188444,0.17687612380387704,0.9128629331617812,0.9072359623571156,0.06038672217182825,0.00014571732730854237,205713353.06287023,4114267.0612574047,0.0001986356115677526,0.00018244644542349437,382.77768746167925,322.9261416576404,11474143.959351297,229482.87918702594,29.467799622849846,0.5893559924569969,9680034.02232943,193600.68044658858,24.860181632974708,0.4972036326594942,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0006,0.0,50,0.030299999999999997,0.002,0.9487945225290001,-21,0.9077945225290001,0.005,0.0,6,0.0325,0.01,0.9481835225290001,-5,0.903183522529,0.0305583712864248,0.032749215622583566,0.06016745091116964,0.0598084945611887,0.029034356804960915,0.026019772496917202,0.06035793736240584,0.06064137791697292,0.02770323,0.01059058,0.0287185,0.01091953,0.03182899,0.01166881,0.03007099,0.01119777,0.02560753,0.01033137,0.02873087,0.01092438,0.03664294,0.01325005,0.03007099,0.01119777,0.9706938595906259,1.0462716727887809,0.938322525860182,1.1889260725152855
26,56,0.1003,140.0,0.0358,26903.0,538.06,1.68951,0.034804297,Altemus:1973,0.0089,0.1092,0.0645,0.0734,1.0,0.0,0.0,26903.0,538.06,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.035460559895278604,4.433234524286382,1.1853412842231033,0.022850319236183518,0.028310681408085365,0.029592321408085365,0.1720241884389674,0.9246862500928165,0.9192258879209146,0.0595921782891793,0.00021053768864095812,127782347.0641364,2555646.9412827278,0.00019863561156775256,0.00018244644542349435,388.53753901898114,327.7853764062867,10452825.41222765,209056.50824455297,26.84485795466449,0.5368971590932898,8818409.98145833,176368.1996291666,22.64736604720484,0.4529473209440968,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0006,0.0,59,0.035699999999999996,0.002,0.9487945225290001,-15,0.9197945225290001,0.005,0.0,7,0.0375,0.01,0.9481835225290001,-3,0.923183522529,0.03595493074024603,0.037749215622583564,0.05941384666622354,0.059085198765886394,0.035217381323308206,0.03667765138717623,0.05952413186599618,0.059247312651933705,0.02478569,0.01082751,0.02554795,0.01111472,0.0253179,0.01060123,0.02582153,0.01096097,0.02388339,0.01090866,0.02557246,0.01112674,0.02460359,0.01069722,0.02582153,0.01096097,0.9751903591796073,0.9706890703623409,0.9761933292022578,0.9746393118805349
26,56,0.1003,140.0,0.0411,23100.0,462.0,1.97121,0.046614719,Altemus:1973,0.0089,0.1092,0.0592,0.06810000000000001,1.0,0.0,0.0,23100.0,462.0,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.0407605598952786,4.433234524286382,1.1853412842231033,0.02097269610514828,0.026266449644286285,0.027955659644286285,0.16719946065788097,0.9365095670238518,0.9312158134847138,0.05858856234080229,0.0002751874817042471,83942771.8766158,1678855.437532316,0.00019863561156775261,0.00018244644542349437,396.0371074934356,334.112303996065,9148457.183098363,182969.14366196725,23.494990483368937,0.4698998096673787,7717994.222309101,154359.88444618203,19.821287587032813,0.3964257517406563,"[0.158,0.186]",0.167,"[0.025,0.035]",0.026,0.0006,0.0,67,0.040499999999999994,0.002,0.9487945225290001,-9,0.9317945225290001,0.005,0.0,8,0.0425,0.01,0.9481835225290001,-2,0.933183522529,0.040751404148487325,0.04274921562258357,0.058640140018016824,0.058280406844490866,0.04136138206761608,0.04200659083230574,0.05853471257125774,0.05840481103583557,0.02245527,0.01101351,0.02233402,0.01101767,0.0226359,0.01102854,0.02282039,0.01105706,0.02128911,0.01084035,0.02236688,0.011038,0.02219429,0.01095583,0.02282039,0.01105706,1.000079819971081,0.9970267872035872,0.9801673024231163,0.9895934978522991
26,56,0.1009,160.0,0.0102,15350.0,307.0,0.63667,0.021387622,Altemus:1973,0.0089,0.10980000000000001,0.0907,0.09960000000000001,1.0,0.0,0.0,15350.0,307.0,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.00982284422746657,4.433234524286382,1.1841926133578762,0.03550269835832589,0.04242526735264872,0.04252930735264872,0.20622634980198024,0.8639942933706741,0.8570717243763513,0.01527076022979497,-0.00010841368583378364,-141587290.22029677,-2831745.804405935,4.194219605911473e-05,3.854250985760179e-05,433.27066303791275,365.8785388040362,6650704.677631961,133014.0935526392,17.080283591133263,0.3416056718226652,5616235.570641956,112324.71141283913,14.423568766149204,0.28847137532298406,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,16,0.009899999999999999,0.014,0.9346585225290001,-6,0.8576585225290001,0.005,0.0,1,0.0075,0.008,0.934183522529,-10,0.8581835225290001,0.010301801461707782,0.007883408650128564,0.015269569049075093,0.015284251971203911,0.010243485111882555,0.009500060217015766,0.015269998819859196,0.015273701452298932,0.0495412,0.0002875756,0.05044921,0.0002624935,0.06347471,5.542711e-05,0.06430963,5.017539e-05,0.07102595,2.039842e-05,0.05046816,0.0002620714,0.06893059,2.678674e-05,0.06430963,5.017539e-05,0.998512370117426,0.9899082356273223,1.2147892081408982,1.0586202568716987
26,56,0.1009,160.0,0.0154,20539.0,410.78,0.69682,0.019934758,Altemus:1973,0.0089,0.10980000000000001,0.0855,0.09440000000000001,1.0,0.0,0.0,20539.0,410.78,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.01502284422746657,4.433234524286382,1.1841926133578762,0.03346726250977799,0.040210293555120874,0.040447453555120874,0.20111552290939871,0.8757877684192221,0.8690447373738792,0.01521924671058088,-5.26640360270521e-05,-390000492.7356815,-7800009.854713629,4.194219605911472e-05,3.8542509857601774e-05,434.7826663188341,367.15536088843845,8930001.183522534,178600.02367045067,22.933953630012788,0.45867907260025575,7541003.9572876375,150820.07914575274,19.36674268300126,0.3873348536600251,"[0.186,0.223]",0.205,"[0.035,0.045]",0.04,0.0006,0.0,25,0.0153,0.014,0.9346585225290001,-5,0.8716585225290001,0.005,0.0,3,0.0175,0.008,0.934183522529,-9,0.866183522529,0.015700455915869327,0.017883408650128566,0.015219212804513403,0.015188059800009496,0.01759494199251188,0.013763211773119318,0.015196583846061503,0.015236585041716214,0.02173108,0.007075006,0.02184512,0.006621769,0.02163926,0.007885635,0.02390892,0.00392522,0.02269657,0.01128531,0.02184623,0.006618194,0.03169584,0.001613334,0.02390892,0.003925219,1.061762030661438,1.8395245939841458,1.647726589040384,0.5532035374084242
