qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.148,0.0219,0.001,0.00198,2.55e-09,0.00305,0.0,0.0,0.0,0.0,0.0,0.0,2.55e-09,0.00305
0.148,0.0219,0.002,0.00298,5.22e-09,0.00501,0.0,0.0,0.0,0.0,0.0,0.0,5.22e-09,0.00501
0.148,0.02189,0.003,0.00398,1.23e-08,0.00707,0.0,0.0,0.0,0.0,0.0,0.0,1.23e-08,0.00707
0.148,0.02188,0.004,0.00498,3.82e-08,0.00865,0.0,0.0,0.0,0.0,0.0,0.0,3.82e-08,0.00865
0.148,0.02187,0.005,0.00598,1.53e-07,0.00929,0.0,0.0,0.0,0.0,0.0,0.0,1.53e-07,0.00929
0.148,0.02186,0.006,0.00698,6.49e-07,0.00896,0.0,0.0,0.0,0.0,0.0,0.0,6.49e-07,0.00896
0.148,0.02184,0.007,0.00798,2.57e-06,0.00797,0.0,0.0,0.0,0.0,0.0,0.0,2.57e-06,0.00797
0.148,0.02182,0.008,0.00898,8.97e-06,0.00674,0.0,0.0,0.0,0.0,0.0,0.0,8.97e-06,0.00674
0.148,0.0218,0.009,0.00998,2.71e-05,0.00553,0.0,0.0,0.0,0.0,0.0,0.0,2.71e-05,0.00553
0.148,0.02178,0.01001,0.01098,7.04e-05,0.00447,0.0,0.0,0.0,0.0,0.0,0.0,7.04e-05,0.00447
0.148,0.02176,0.01101,0.01198,0.000158,0.00362,0.0,0.0,0.0,0.0,0.0,0.0,0.000158,0.00362
0.148,0.02174,0.01201,0.01298,0.00184,0.0183,0.0,0.0,0.0,0.0,0.0,0.0,0.00184,0.0183
0.148,0.02171,0.01301,0.01398,0.0031,0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0167
0.148,0.02168,0.01401,0.01498,0.0046,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0046,0.0169
0.148,0.02165,0.01501,0.01598,0.0061,0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0179
0.148,0.02162,0.01601,0.01698,0.00738,0.0192,0.0,0.0,0.0,0.0,0.0,0.0,0.00738,0.0192
0.148,0.02158,0.01701,0.01798,0.00859,0.0207,0.000229,0.000304,0.0,0.0,2.88e-05,0.0,0.00833,0.0203
0.148,0.02154,0.01802,0.01898,0.00967,0.0225,0.000666,0.00089,0.0,0.0,5.78e-05,0.0,0.00895,0.0216
0.148,0.0215,0.01902,0.01998,0.0106,0.025,0.00121,0.00162,0.0,0.0,8.68e-05,0.0,0.00926,0.0233
0.148,0.02146,0.02002,0.02098,0.0113,0.028,0.00183,0.00247,0.0,0.0,0.000118,0.0,0.00931,0.0255
0.148,0.02142,0.02102,0.02198,0.0118,0.0313,0.00252,0.00342,0.0,0.0,0.000152,0.0,0.00911,0.0278
0.148,0.02138,0.02202,0.02298,0.012199999999999999,0.0342,0.00326,0.00445,0.0,0.0,0.000188,0.0,0.00874,0.0297
0.148,0.02133,0.02303,0.02398,0.0125,0.0362,0.00404,0.00556,0.0,0.0,0.000225,0.0,0.00823,0.0307
0.148,0.02128,0.02403,0.02498,0.0127,0.0371,0.00485,0.00672,0.0,0.0,0.000264,0.0,0.00757,0.0304
0.148,0.02123,0.02503,0.02598,0.0127,0.0367,0.00566,0.00792,0.0,0.0,0.000303,0.0,0.00675,0.0288
0.148,0.02118,0.02603,0.02698,0.0122,0.0349,0.00615,0.00867,0.0,0.0,0.000324,0.0,0.00575,0.0262
0.148,0.02112,0.02704,0.02798,0.0116,0.0325,0.0066,0.00939,0.0,0.0,0.000344,0.0,0.00465,0.0231
0.148,0.02106,0.02804,0.02898,0.0109,0.03,0.00701,0.0101,0.0,0.0,0.000362,0.0,0.00357,0.0199
0.148,0.02101,0.02904,0.02998,0.0104,0.0276,0.00739,0.0107,0.0,0.0,0.000379,0.0,0.00259,0.0169
0.148,0.02094,0.03004,0.03098,0.00992,0.0256,0.00772,0.0113,0.0,0.0,0.000395,0.0,0.00181,0.0143
0.148,0.02088,0.03105,0.03198,0.00964,0.0242,0.00801,0.0119,0.0,0.0,0.000408,0.0,0.00123,0.0123
0.148,0.02082,0.03205,0.03298,0.0095,0.0231,0.00825,0.0124,0.0,0.0,0.00042,0.0,0.000831,0.0108
0.148,0.02075,0.03305,0.03398,0.00945,0.0224,0.00844,0.0128,0.0,0.0,0.00043,0.0,0.000582,0.00963
0.148,0.02068,0.03405,0.03498,0.00946,0.0219,0.00859,0.0132,0.0,0.0,0.000439,0.0,0.000431,0.00874
0.148,0.02061,0.03506,0.03598,0.00947,0.0215,0.00868,0.0135,0.0,0.0,0.000446,0.0,0.000341,0.00799
0.148,0.02054,0.03606,0.03698,0.00947,0.0211,0.00873,0.0138,0.0,0.0,0.000452,0.0,0.000283,0.00732
0.148,0.02046,0.03706,0.03798,0.00943,0.0207,0.00873,0.014,0.0,0.0,0.000456,0.0,0.000241,0.00667
0.148,0.02038,0.03807,0.03898,0.00936,0.0202,0.00869,0.0141,0.0,0.0,0.000459,0.0,0.000206,0.00603
0.148,0.02031,0.03907,0.03998,0.00924,0.0196,0.00861,0.0142,0.0,0.0,0.00046,0.0,0.000175,0.00539
0.148,0.02022,0.04008,0.04098,0.00909,0.019,0.00849,0.0142,0.0,0.0,0.00046,0.0,0.000147,0.00477
0.148,0.02014,0.04108,0.04198,0.00891,0.0184,0.00833,0.0142,0.0,0.0,0.000458,0.0,0.00012,0.00419
0.148,0.02006,0.04208,0.04298,0.0087,0.0178,0.00815,0.0142,0.0,0.0,0.000456,0.0,9.68e-05,0.00364
0.148,0.01997,0.04309,0.04398,0.00847,0.0172,0.00794,0.0141,0.0,0.0,0.000452,0.0,7.63e-05,0.00315
0.148,0.01988,0.04409,0.04498,0.00822,0.0166,0.00771,0.0139,0.0,0.0,0.000448,0.0,5.88e-05,0.00272
0.148,0.01979,0.04509,0.04598,0.00795,0.0161,0.00746,0.0137,0.0,0.0,0.000443,0.0,4.43e-05,0.00233
0.148,0.0197,0.0461,0.04698,0.00767,0.0155,0.0072,0.0135,0.0,0.0,0.000436,0.0,3.27e-05,0.002
0.148,0.0196,0.0471,0.04798,0.00738,0.015,0.00693,0.0133,0.0,0.0,0.000429,0.0,2.36e-05,0.00172
0.148,0.0195,0.04811,0.04898,0.00709,0.0145,0.00665,0.0131,0.0,0.0,0.000422,0.0,1.67e-05,0.00148
0.148,0.01941,0.04911,0.04998,0.00679,0.0141,0.00636,0.0128,0.0,0.0,0.000413,0.0,1.16e-05,0.00127
0.148,0.01931,0.05012,0.05098,0.00649,0.0136,0.00607,0.0125,0.0,0.0,0.000404,0.0,7.82e-06,0.00109
0.148,0.0192,0.05112,0.05198,0.00619,0.0132,0.00579,0.0123,0.0,0.0,0.000395,0.0,5.18e-06,0.000931
0.148,0.0191,0.05213,0.05298,0.00589,0.0128,0.0055,0.012,0.0,0.0,0.000385,0.0,3.36e-06,0.000794
0.148,0.01899,0.05313,0.05398,0.00559,0.0123,0.00522,0.0117,0.0,0.0,0.000375,0.0,2.13e-06,0.000674
0.148,0.01888,0.05414,0.05498,0.0053,0.0119,0.00494,0.0114,0.0,0.0,0.000365,0.0,1.32e-06,0.000568
0.148,0.01877,0.05514,0.05598,0.00502,0.0116,0.00466,0.0111,0.0,0.0,0.000354,0.0,8.03e-07,0.000476
0.148,0.01866,0.05615,0.05698,0.00474,0.0112,0.00439,0.0108,0.0,0.0,0.000344,0.0,4.77e-07,0.000394
0.148,0.01854,0.05715,0.05798,0.00446,0.0108,0.00413,0.0105,0.0,0.0,0.000333,0.0,2.78e-07,0.000324
0.148,0.01843,0.05816,0.05898,0.0042,0.0105,0.00388,0.0102,0.0,0.0,0.000322,0.0,1.58e-07,0.000263
0.148,0.01831,0.05916,0.05998,0.00394,0.0101,0.00363,0.00991,0.0,0.0,0.000311,0.0,8.79e-08,0.000211
0.148,0.01819,0.06017,0.06098,0.00369,0.0098,0.00339,0.00963,0.0,0.0,0.000301,0.0,4.79e-08,0.000168
0.148,0.01806,0.06117,0.06198,0.00345,0.00948,0.00316,0.00935,0.0,0.0,0.00029,0.0,2.55e-08,0.000132
0.148,0.01794,0.06218,0.06298,0.00322,0.00918,0.00294,0.00908,0.0,0.0,0.000279,0.0,1.33e-08,0.000102
0.148,0.01781,0.06318,0.06398,0.00299,0.00889,0.00272,0.00881,0.0,0.0,0.000269,0.0,6.8e-09,7.82e-05
0.148,0.01768,0.06419,0.06498,0.00278,0.00861,0.00252,0.00855,0.0,0.0,0.000258,0.0,3.4e-09,5.91e-05
0.148,0.01755,0.06519,0.06598,0.00257,0.00834,0.00232,0.0083,0.0,0.0,0.000248,0.0,1.66e-09,4.41e-05
0.148,0.01742,0.0662,0.06698,0.00237,0.00808,0.00213,0.00805,0.0,0.0,0.000238,0.0,7.93e-10,3.25e-05
0.148,0.01728,0.06721,0.06798,0.00218,0.00783,0.00195,0.00781,0.0,0.0,0.000229,0.0,3.71e-10,2.36e-05
0.148,0.01715,0.06821,0.06898,0.002,0.00759,0.00178,0.00757,0.0,0.0,0.000219,0.0,1.7e-10,1.7e-05
0.148,0.01701,0.06922,0.06998,0.00182,0.00736,0.00161,0.00735,0.0,0.0,0.00021,0.0,7.61e-11,1.2e-05
0.148,0.01687,0.07023,0.07098,0.00165,0.00713,0.00145,0.00712,0.0,0.0,0.000201,0.0,3.34e-11,8.42e-06
0.148,0.01672,0.07123,0.07198,0.0015,0.00691,0.0013,0.00691,3.6e-07,4.31e-09,0.000192,0.0,1.43e-11,5.82e-06
0.148,0.01658,0.07224,0.07298,0.00134,0.0067,0.00116,0.0067,8.04e-07,9.71e-09,0.000184,0.0,6e-12,3.96e-06
0.148,0.01643,0.07324,0.07398,0.0012,0.00649,0.00102,0.00649,1.35e-06,1.65e-08,0.000176,0.0,2.46e-12,2.67e-06
0.148,0.01628,0.07425,0.07498,0.00106,0.00629,0.000893,0.00629,1.37e-06,1.65e-08,0.000168,0.0,9.89e-13,1.77e-06
0.148,0.01613,0.07526,0.07598,0.000933,0.0061,0.00077,0.0061,2.05e-06,2.5e-08,0.00016,0.0,3.89e-13,1.16e-06
0.148,0.01598,0.07627,0.07698,0.00081,0.00591,0.000654,0.00591,2.86e-06,3.56e-08,0.000153,0.0,1.5e-13,7.52e-07
0.148,0.01582,0.07727,0.07798,0.000693,0.00573,0.000543,0.00573,3.84e-06,4.88e-08,0.000146,0.0,5.62e-14,4.8e-07
0.148,0.01567,0.07828,0.07898,0.000582,0.00555,0.000439,0.00555,3.91e-06,4.93e-08,0.000139,0.0,2.07e-14,3.03e-07
0.148,0.01551,0.07929,0.07998,0.000479,0.00538,0.000341,0.00538,5.1e-06,6.56e-08,0.000133,0.0,7.46e-15,1.89e-07
0.148,0.01535,0.08029,0.08098,0.000381,0.00521,0.000248,0.00521,6.53e-06,8.56e-08,0.000127,0.0,0.0,1.16e-07
0.148,0.01518,0.0813,0.08198,0.00029,0.00505,0.000161,0.00505,8.22e-06,1.1e-07,0.000121,0.0,0.0,7.02e-08
0.148,0.01502,0.08231,0.08298,0.00020400000000000003,0.00489,7.86e-05,0.00489,1.02e-05,1.39e-07,0.000115,0.0,0.0,4.2e-08
0.148,0.01485,0.08332,0.08398,0.000122,0.00474,1.84e-06,0.00474,1.04e-05,1.42e-07,0.00011,0.0,0.0,2.48e-08
0.148,0.01468,0.08432,0.08498,0.000117,0.00454,0.0,0.00454,1.28e-05,1.78e-07,0.000105,0.0,0.0,1.45e-08
0.148,0.01451,0.08533,0.08598,0.000115,0.00434,0.0,0.00434,1.56e-05,2.21e-07,9.95e-05,0.0,0.0,8.34e-09
0.148,0.01434,0.08634,0.08698,0.000114,0.00415,0.0,0.00415,1.89e-05,2.72e-07,9.48e-05,0.0,0.0,4.74e-09
0.148,0.01416,0.08735,0.08798,0.000109,0.00396,0.0,0.00396,1.92e-05,2.78e-07,9.03e-05,0.0,0.0,2.66e-09
0.148,0.01399,0.08835,0.08898,0.000109,0.00379,0.0,0.00379,2.31e-05,3.4e-07,8.59e-05,0.0,0.0,1.47e-09
0.148,0.01381,0.08936,0.08998,0.000109,0.00361,0.0,0.00361,2.76e-05,4.13e-07,8.18e-05,0.0,0.0,8.03e-10
0.148,0.01363,0.09037,0.09098,0.000111,0.00345,0.0,0.00345,3.28e-05,4.99e-07,7.78e-05,0.0,0.0,4.33e-10
0.148,0.01344,0.09138,0.09198,0.000107,0.00328,0.0,0.00328,3.33e-05,5.11e-07,7.4e-05,0.0,0.0,2.3e-10
0.148,0.01326,0.09239,0.09298,0.00011,0.00313,0.0,0.00313,3.94e-05,6.14e-07,7.04e-05,0.0,0.0,1.21e-10
0.148,0.01307,0.0934,0.09398,0.000113,0.00298,0.0,0.00298,4.63e-05,7.34e-07,6.69e-05,0.0,0.0,6.28e-11
0.148,0.01288,0.0944,0.09498,0.000118,0.00283,0.0,0.00283,5.42e-05,8.72e-07,6.36e-05,0.0,0.0,3.21e-11
0.148,0.01269,0.09541,0.09598,0.000124,0.00269,0.0,0.00269,6.32e-05,1.03e-06,6.04e-05,0.0,0.0,1.62e-11
0.148,0.0125,0.09642,0.09698,0.000122,0.00255,0.0,0.00255,6.42e-05,1.06e-06,5.73e-05,0.0,0.0,8.09e-12
0.148,0.0123,0.09743,0.09798,0.000129,0.00242,0.0,0.00242,7.45e-05,1.25e-06,5.44e-05,0.0,0.0,3.98e-12
0.148,0.01211,0.09844,0.09898,0.000138,0.00229,0.0,0.00229,8.61e-05,1.46e-06,5.16e-05,0.0,0.0,1.93e-12
0.148,0.01191,0.09945,0.09998,0.000148,0.00217,0.0,0.00217,9.91e-05,1.71e-06,4.89e-05,0.0,0.0,9.26e-13
0.148,0.01171,0.10046,0.10098,0.000147,0.00205,0.0,0.00205,0.000101,1.76e-06,4.63e-05,0.0,0.0,4.38e-13
0.148,0.0115,0.10147,0.10198,0.000159,0.00193,0.0,0.00193,0.000116,2.05e-06,4.38e-05,0.0,0.0,2.05e-13
0.148,0.0113,0.10247,0.10298,0.000173,0.00182,0.0,0.00182,0.000132,2.37e-06,4.14e-05,0.0,0.0,9.43e-14
0.148,0.01109,0.10348,0.10398,0.000189,0.00172,0.0,0.00171,0.00015,2.73e-06,3.91e-05,0.0,0.0,4.29e-14
0.148,0.01088,0.10449,0.10498,0.000207,0.00161,0.0,0.00161,0.00017,3.13e-06,3.69e-05,0.0,0.0,1.93e-14
0.148,0.01067,0.1055,0.10598,0.000208,0.00151,0.0,0.00151,0.000173,3.24e-06,3.47e-05,0.0,0.0,0.0
0.148,0.01046,0.10651,0.10698,0.000228,0.00142,0.0,0.00142,0.000196,3.71e-06,3.27e-05,0.0,0.0,0.0
0.148,0.01024,0.10752,0.10798,0.000251,0.00133,0.0,0.00132,0.00022,4.23e-06,3.07e-05,0.0,0.0,0.0
0.148,0.01003,0.10853,0.10898,0.000275,0.00124,0.0,0.00124,0.000247,4.8e-06,2.88e-05,0.0,0.0,0.0
0.148,0.00981,0.10954,0.10998,0.000303,0.00116,0.0,0.00115,0.000276,5.43e-06,2.69e-05,0.0,0.0,0.0
0.148,0.00959,0.11055,0.11098,0.000306,0.00107,0.0,0.00107,0.000281,5.63e-06,2.52e-05,0.0,0.0,0.0
0.148,0.00936,0.11156,0.11198,0.000336,0.000997,0.0,0.000991,0.000312,6.35e-06,2.35e-05,0.0,0.0,0.0
0.148,0.00914,0.11257,0.11298,0.000369,0.000923,0.0,0.000916,0.000347,7.14e-06,2.18e-05,0.0,0.0,0.0
0.148,0.00891,0.11358,0.11398,0.000404,0.000853,0.0,0.000845,0.000384,7.99e-06,2.03e-05,0.0,0.0,0.0
0.148,0.00868,0.11459,0.11498,0.000442,0.000786,0.0,0.000777,0.000423,8.91e-06,1.88e-05,0.0,0.0,0.0
0.148,0.00845,0.1156,0.11598,0.000448,0.000722,0.0,0.000712,0.000431,9.28e-06,1.73e-05,0.0,0.0,0.0
0.148,0.00822,0.11661,0.11698,0.000489,0.000661,0.0,0.000651,0.000473,1.03e-05,1.59e-05,0.0,0.0,0.0
0.148,0.00798,0.11762,0.11798,0.000533,0.000604,0.0,0.000592,0.000519,1.15e-05,1.46e-05,0.0,0.0,0.0
0.148,0.00775,0.11863,0.11898,0.00058,0.00055,0.0,0.000537,0.000567,1.27e-05,1.34e-05,0.0,0.0,0.0
0.148,0.00751,0.11964,0.11998,0.000629,0.000499,0.0,0.000485,0.000617,1.4e-05,1.22e-05,0.0,0.0,0.0
0.148,0.00727,0.12065,0.12098,0.000639,0.00045,0.0,0.000436,0.000628,1.46e-05,1.1e-05,0.0,0.0,0.0
0.148,0.00702,0.12167,0.12198,0.000692,0.000406,0.0,0.00039,0.000682,1.6e-05,9.95e-06,0.0,0.0,0.0
