Z,A,E0,ThetaDeg,nu,cross,error,dataSet
1,2,2.3528,43.3976,1.8168,1.08E+05,4.01E+03,1
1,2,2.3038,30.7459,1.827,1.66E+05,5.78E+03,1
1,2,2.3593,43.4006,1.7727,1.07E+05,4.02E+03,1
1,2,2.3682,43.396,1.7456,1.03E+05,3.82E+03,1
1,2,2.304,30.7485,1.7479,1.60E+05,5.51E+03,1
1,2,2.3732,43.4,1.7167,1.06E+05,3.88E+03,1
1,2,2.3753,43.3977,1.6863,9.92E+04,3.80E+03,1
1,2,2.3511,37.021,1.6988,1.29E+05,5.52E+03,1
1,2,2.2929,30.7495,1.665,1.54E+05,5.33E+03,1
1,2,2.3833,43.3977,1.6591,9.82E+04,3.75E+03,1
1,2,2.3427,37.0199,1.6598,1.26E+05,4.49E+03,1
1,2,2.391,43.4019,1.6319,1.00E+05,3.73E+03,1
1,2,2.3464,37.0188,1.6259,1.26E+05,4.56E+03,1
1,2,2.315,30.7498,1.6129,1.51E+05,5.23E+03,1
1,2,2.3937,43.4009,1.602,9.67E+04,3.83E+03,1
1,2,2.3474,37.0226,1.591,1.21E+05,4.13E+03,1
1,2,2.3975,43.401,1.5726,9.13E+04,3.29E+03,1
1,2,2.3163,30.7498,1.5738,1.48E+05,5.09E+03,1
1,2,2.3539,37.021,1.5585,1.21E+05,4.06E+03,1
1,2,2.4022,43.3998,1.5439,8.71E+04,3.16E+03,1
1,2,2.3178,30.7475,1.5347,1.47E+05,5.12E+03,1
1,2,2.3604,37.0191,1.526,1.24E+05,4.08E+03,1
1,2,2.4068,43.4004,1.5151,8.36E+04,3.06E+03,1
1,2,2.3622,37.0193,1.4915,1.23E+05,4.05E+03,1
1,2,2.4113,43.3967,1.4863,8.18E+04,3.04E+03,1
1,2,2.3423,30.7474,1.5037,1.50E+05,5.65E+03,1
1,2,2.3646,37.0221,1.4573,1.16E+05,3.89E+03,1
1,2,2.4219,43.3985,1.4612,8.17E+04,2.90E+03,1
1,2,2.3258,30.7492,1.4584,1.49E+05,5.12E+03,1
1,2,2.4274,43.3962,1.4331,8.02E+04,2.94E+03,1
1,2,2.3682,37.0222,1.4237,1.12E+05,3.72E+03,1
1,2,2.3274,30.749,1.4195,1.57E+05,5.22E+03,1
1,2,2.4265,43.3967,1.4014,7.39E+04,2.71E+03,1
1,2,2.3716,37.0191,1.3899,1.09E+05,3.61E+03,1
1,2,2.3331,30.7499,1.3821,1.56E+05,5.21E+03,1
1,2,2.4319,43.3993,1.3734,6.58E+04,2.33E+03,1
1,2,2.3751,37.0198,1.3563,1.10E+05,3.61E+03,1
1,2,2.3217,30.75,1.3384,1.50E+05,5.79E+03,1
1,2,2.4386,43.3966,1.3462,5.94E+04,2.16E+03,1
1,2,2.3843,37.0211,1.3255,1.11E+05,3.59E+03,1
1,2,2.4442,43.3959,1.3185,6.13E+04,2.07E+03,1
1,2,2.3471,30.7509,1.3084,1.45E+05,4.80E+03,1
1,2,2.3886,37.0212,1.2924,1.09E+05,3.59E+03,1
1,2,2.4497,43.3974,1.2907,6.45E+04,2.22E+03,1
1,2,2.3417,30.7489,1.2669,1.42E+05,4.60E+03,1
1,2,2.455,43.3958,1.2629,7.06E+04,2.44E+03,1
1,2,2.3929,37.019,1.2593,1.00E+05,3.25E+03,1
1,2,2.4601,43.3972,1.235,7.48E+04,2.65E+03,1
1,2,2.3467,30.7474,1.2293,1.44E+05,4.66E+03,1
1,2,2.3959,37.0204,1.2257,8.99E+04,2.82E+03,1
1,2,2.4652,43.396,1.2072,7.07E+04,2.64E+03,1
1,2,2.3968,37.0218,1.191,8.46E+04,2.58E+03,1
1,2,2.3462,30.751,1.1898,1.52E+05,4.87E+03,1
1,2,2.3411,30.7466,1.1483,1.52E+05,4.87E+03,1
1,2,2.4035,37.0209,1.1592,8.49E+04,2.64E+03,1
1,2,2.4068,37.021,1.1258,9.24E+04,2.95E+03,1
1,2,2.4101,37.0216,1.0925,1.05E+05,3.34E+03,1
1,2,2.3595,30.7479,1.0767,1.24E+05,4.10E+03,1
1,2,2.4106,37.0217,1.0576,1.19E+05,3.89E+03,1
1,2,2.3609,30.7505,1.038,1.15E+05,3.82E+03,1
1,2,2.4182,37.0184,1.0265,1.17E+05,4.02E+03,1
1,2,2.3624,30.7496,0.9993,1.21E+05,3.98E+03,1
1,2,2.3642,30.7459,0.9606,1.35E+05,4.50E+03,1
1,2,2.3655,30.7469,0.9218,1.64E+05,5.47E+03,1
1,2,2.3553,30.7498,0.8782,2.01E+05,7.28E+03,1
1,2,3.08,11.8679,2.6517,2.40E+05,1.54E+04,1
1,2,3.1037,23.8259,2.6445,1.58E+05,6.17E+03,1
1,2,3.1127,30.0754,2.6259,1.31E+05,5.09E+03,1
1,2,3.0879,21.8808,2.6248,1.67E+05,6.70E+03,1
1,2,3.1152,33.1646,2.5874,1.16E+05,4.65E+03,1
1,2,3.0817,23.8261,2.5557,1.53E+05,5.67E+03,1
1,2,3.0526,11.869,2.55,2.26E+05,1.29E+04,1
1,2,3.1066,30.0796,2.5501,1.26E+05,4.67E+03,1
1,2,3.0764,21.8823,2.5361,1.59E+05,6.08E+03,1
1,2,3.1473,33.1645,2.5317,1.08E+05,3.99E+03,1
1,2,3.1124,30.0764,2.4785,1.20E+05,4.32E+03,1
1,2,3.0865,23.8258,2.4737,1.47E+05,5.22E+03,1
1,2,3.1313,33.1635,2.4559,1.05E+05,3.73E+03,1
1,2,3.0533,11.8688,2.4504,2.16E+05,1.08E+04,1
1,2,3.0807,21.8836,2.4509,1.56E+05,5.66E+03,1
1,2,3.1204,30.0789,2.4079,1.15E+05,4.04E+03,1
1,2,3.1393,33.1676,2.3904,9.83E+04,4.07E+03,1
