qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
1.66289,2.75,0.00025,0.12326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66291,2.75,0.0005,0.12351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66292,2.75,0.00075,0.12376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66294,2.75,0.001,0.12401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66296,2.75,0.00125,0.12426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66298,2.75,0.0015,0.12451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.663,2.75,0.00175,0.12476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66302,2.75,0.002,0.12501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66304,2.75,0.00225,0.12526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66306,2.75,0.0025,0.12551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66307,2.75,0.00275,0.12576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66309,2.75,0.003,0.12601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66311,2.75,0.00325,0.12626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66313,2.75,0.0035,0.12651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66315,2.75,0.00375,0.12676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66317,2.75,0.004,0.12701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66319,2.75,0.00425,0.12726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66321,2.75,0.0045,0.12751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66323,2.75,0.00475,0.12776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66325,2.75,0.005,0.12801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66327,2.75,0.00525,0.12826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66328,2.75,0.0055,0.12851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6633,2.75,0.00575,0.12876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66332,2.75,0.006,0.12901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66334,2.75,0.00625,0.12926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66336,2.75,0.0065,0.12951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66338,2.75,0.00675,0.12976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6634,2.75,0.007,0.13001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66342,2.75,0.00725,0.13026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66344,2.75,0.0075,0.13051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66346,2.75,0.00775,0.13076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66348,2.75,0.008,0.13101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6635,2.75,0.00825,0.13126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66352,2.75,0.0085,0.13151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66354,2.75,0.00875,0.13176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66356,2.75,0.009,0.13201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.66358,2.75,0.00925,0.13226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
