qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
2.213,4.84894,0.00317,0.22006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.8485,0.00419,0.22106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84806,0.00521,0.22206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84761,0.00623,0.22306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84716,0.00725,0.22406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84672,0.00827,0.22506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84626,0.00929,0.22606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84581,0.01031,0.22706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84536,0.01133,0.22806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.8449,0.01235,0.22906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84444,0.01337,0.23006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84398,0.01439,0.23106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84352,0.01541,0.23206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84305,0.01643,0.23306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84258,0.01745,0.23406,4.42e-23,0.0,4.42e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84211,0.01847,0.23506,6.5e-23,0.0,6.5e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.213,4.84164,0.01949,0.23606,8.18e-23,0.0,8.18e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
