Z,A,E0,ThetaDeg,nu,cross,error,dataSet
82,208,0.14,60.0,0.0025,1613000.0,456600.0,Zghiche:1993xg
82,208,0.14,60.0,0.0075,70220000.0,2520000.0,Zghiche:1993xg
82,208,0.14,60.0,0.0125,4394000.0,280000.0,Zghiche:1993xg
82,208,0.14,60.0,0.0175,3138000.0,230100.0,Zghiche:1993xg
82,208,0.14,60.0,0.0225,2098000.0,202100.0,Zghiche:1993xg
82,208,0.14,60.0,0.0275,2242000.0,204400.0,Zghiche:1993xg
82,208,0.14,60.0,0.0325,2083000.0,213700.0,Zghiche:1993xg
82,208,0.14,60.0,0.0375,1956000.0,237100.0,Zghiche:1993xg
82,208,0.14,60.0,0.0425,1275000.0,272200.0,Zghiche:1993xg
82,208,0.14,60.0,0.0475,1076000.0,333900.0,Zghiche:1993xg
82,208,0.14,75.0,0.0025,198000.0,66200.0,Zghiche:1993xg
82,208,0.14,75.0,0.0075,8546000.0,308400.0,Zghiche:1993xg
82,208,0.14,75.0,0.0125,1211000.0,60580.0,Zghiche:1993xg
82,208,0.14,75.0,0.0175,941500.0,52220.0,Zghiche:1993xg
82,208,0.14,75.0,0.0225,885300.0,50360.0,Zghiche:1993xg
82,208,0.14,75.0,0.0275,811000.0,48840.0,Zghiche:1993xg
82,208,0.14,75.0,0.0325,812500.0,49740.0,Zghiche:1993xg
82,208,0.14,75.0,0.0375,825000.0,51810.0,Zghiche:1993xg
82,208,0.14,75.0,0.0425,743300.0,53410.0,Zghiche:1993xg
82,208,0.14,75.0,0.0475,763600.0,59900.0,Zghiche:1993xg
82,208,0.14,75.0,0.0525,680300.0,69340.0,Zghiche:1993xg
82,208,0.14,75.0,0.0575,572200.0,86840.0,Zghiche:1993xg
82,208,0.14,90.0,0.0025,17580.0,6054.0,Zghiche:1993xg
82,208,0.14,90.0,0.0075,764000.0,27670.0,Zghiche:1993xg
82,208,0.14,90.0,0.0125,378300.0,14520.0,Zghiche:1993xg
82,208,0.14,90.0,0.0175,348400.0,13930.0,Zghiche:1993xg
82,208,0.14,90.0,0.0225,356200.0,14800.0,Zghiche:1993xg
82,208,0.14,90.0,0.0275,345800.0,15310.0,Zghiche:1993xg
82,208,0.14,90.0,0.0325,362200.0,16840.0,Zghiche:1993xg
82,208,0.14,90.0,0.0375,370300.0,18280.0,Zghiche:1993xg
82,208,0.14,90.0,0.0425,376100.0,19790.0,Zghiche:1993xg
82,208,0.14,90.0,0.0475,368700.0,21170.0,Zghiche:1993xg
82,208,0.14,90.0,0.0525,366400.0,23130.0,Zghiche:1993xg
82,208,0.14,90.0,0.0575,343600.0,25650.0,Zghiche:1993xg
82,208,0.14,90.0,0.0625,287700.0,29910.0,Zghiche:1993xg
82,208,0.14,90.0,0.0675,236000.0,38990.0,Zghiche:1993xg
82,208,0.14,143.0,0.0025,4305.0,158.7,Zghiche:1993xg
82,208,0.14,143.0,0.0075,3518.0,133.9,Zghiche:1993xg
82,208,0.14,143.0,0.0125,15930.0,575.4,Zghiche:1993xg
82,208,0.14,143.0,0.0175,22200.0,807.9,Zghiche:1993xg
82,208,0.14,143.0,0.0225,30520.0,1119.0,Zghiche:1993xg
82,208,0.14,143.0,0.0275,37890.0,1401.0,Zghiche:1993xg
82,208,0.14,143.0,0.0325,45100.0,1681.0,Zghiche:1993xg
82,208,0.14,143.0,0.0375,52450.0,1972.0,Zghiche:1993xg
82,208,0.14,143.0,0.0425,65450.0,2481.0,Zghiche:1993xg
82,208,0.14,143.0,0.0475,71510.0,2736.0,Zghiche:1993xg
82,208,0.14,143.0,0.0525,76050.0,2943.0,Zghiche:1993xg
82,208,0.14,143.0,0.0575,78480.0,3088.0,Zghiche:1993xg
82,208,0.14,143.0,0.0625,74530.0,3031.0,Zghiche:1993xg
82,208,0.14,143.0,0.0675,73020.0,3152.0,Zghiche:1993xg
82,208,0.206,60.0,0.0035,1543000.0,55610.0,Zghiche:1993xg
82,208,0.206,60.0,0.0085,885000.0,32670.0,Zghiche:1993xg
82,208,0.206,60.0,0.0135,837100.0,31110.0,Zghiche:1993xg
82,208,0.206,60.0,0.0185,842500.0,31600.0,Zghiche:1993xg
82,208,0.206,60.0,0.0235,747900.0,28700.0,Zghiche:1993xg
82,208,0.206,60.0,0.0285,757200.0,29540.0,Zghiche:1993xg
82,208,0.206,60.0,0.0335,764900.0,30420.0,Zghiche:1993xg
82,208,0.206,60.0,0.0385,726300.0,29800.0,Zghiche:1993xg
82,208,0.206,60.0,0.0435,738500.0,31030.0,Zghiche:1993xg
82,208,0.206,60.0,0.0485,726400.0,31510.0,Zghiche:1993xg
82,208,0.206,60.0,0.0535,677200.0,30850.0,Zghiche:1993xg
82,208,0.206,60.0,0.0585,624200.0,30240.0,Zghiche:1993xg
82,208,0.206,60.0,0.0635,577600.0,30020.0,Zghiche:1993xg
82,208,0.206,60.0,0.0685,572300.0,31230.0,Zghiche:1993xg
82,208,0.206,60.0,0.0735,459300.0,29910.0,Zghiche:1993xg
82,208,0.206,60.0,0.0785,393100.0,30710.0,Zghiche:1993xg
82,208,0.206,60.0,0.0835,309100.0,32460.0,Zghiche:1993xg
82,208,0.206,60.0,0.0885,285900.0,36970.0,Zghiche:1993xg
82,208,0.206,60.0,0.0935,217100.0,43470.0,Zghiche:1993xg
82,208,0.206,60.0,0.0985,178200.0,54010.0,Zghiche:1993xg
82,208,0.206,60.0,0.1035,125600.0,69740.0,Zghiche:1993xg
82,208,0.206,60.0,0.1085,156300.0,91210.0,Zghiche:1993xg
82,208,0.206,60.0,0.1135,140300.0,121000.0,Zghiche:1993xg
82,208,0.206,60.0,0.1185,188300.0,162000.0,Zghiche:1993xg
82,208,0.206,75.0,0.0035,278700.0,10150.0,Zghiche:1993xg
82,208,0.206,75.0,0.0085,183400.0,6753.0,Zghiche:1993xg
82,208,0.206,75.0,0.0135,191800.0,7021.0,Zghiche:1993xg
82,208,0.206,75.0,0.0185,224800.0,8226.0,Zghiche:1993xg
82,208,0.206,75.0,0.0235,251800.0,9261.0,Zghiche:1993xg
82,208,0.206,75.0,0.0285,262700.0,9732.0,Zghiche:1993xg
82,208,0.206,75.0,0.0335,278300.0,10390.0,Zghiche:1993xg
82,208,0.206,75.0,0.0385,289800.0,10910.0,Zghiche:1993xg
82,208,0.206,75.0,0.0435,303500.0,11530.0,Zghiche:1993xg
82,208,0.206,75.0,0.0485,309000.0,11860.0,Zghiche:1993xg
82,208,0.206,75.0,0.0535,316400.0,12280.0,Zghiche:1993xg
82,208,0.206,75.0,0.0585,311400.0,12260.0,Zghiche:1993xg
82,208,0.206,75.0,0.0635,302900.0,12160.0,Zghiche:1993xg
82,208,0.206,75.0,0.0685,298400.0,12280.0,Zghiche:1993xg
82,208,0.206,75.0,0.0735,290200.0,12360.0,Zghiche:1993xg
82,208,0.206,75.0,0.0785,267400.0,12040.0,Zghiche:1993xg
82,208,0.206,75.0,0.0835,251600.0,12140.0,Zghiche:1993xg
82,208,0.206,75.0,0.0885,216100.0,11820.0,Zghiche:1993xg
82,208,0.206,75.0,0.0935,186500.0,12020.0,Zghiche:1993xg
82,208,0.206,75.0,0.0985,157400.0,12670.0,Zghiche:1993xg
82,208,0.206,75.0,0.1035,137200.0,14070.0,Zghiche:1993xg
82,208,0.206,75.0,0.1085,135800.0,16620.0,Zghiche:1993xg
82,208,0.206,75.0,0.1135,125800.0,20470.0,Zghiche:1993xg
82,208,0.206,75.0,0.1185,107000.0,26750.0,Zghiche:1993xg
82,208,0.206,143.0,0.0035,43.98,1.579,Zghiche:1993xg
82,208,0.206,143.0,0.0085,507.3,18.08,Zghiche:1993xg
82,208,0.206,143.0,0.0135,4625.0,166.3,Zghiche:1993xg
82,208,0.206,143.0,0.0185,6866.0,249.1,Zghiche:1993xg
82,208,0.206,143.0,0.0235,10250.0,375.2,Zghiche:1993xg
82,208,0.206,143.0,0.0285,14290.0,527.6,Zghiche:1993xg
82,208,0.206,143.0,0.0335,17760.0,661.4,Zghiche:1993xg
82,208,0.206,143.0,0.0385,21050.0,790.6,Zghiche:1993xg
82,208,0.206,143.0,0.0435,24800.0,939.4,Zghiche:1993xg
82,208,0.206,143.0,0.0485,26120.0,997.8,Zghiche:1993xg
82,208,0.206,143.0,0.0535,29920.0,1153.0,Zghiche:1993xg
82,208,0.206,143.0,0.0585,36570.0,1420.0,Zghiche:1993xg
82,208,0.206,143.0,0.0635,37650.0,1474.0,Zghiche:1993xg
82,208,0.206,143.0,0.0685,39170.0,1546.0,Zghiche:1993xg
82,208,0.206,143.0,0.0735,42810.0,1704.0,Zghiche:1993xg
82,208,0.206,143.0,0.0785,45090.0,1809.0,Zghiche:1993xg
82,208,0.206,143.0,0.0835,47020.0,1902.0,Zghiche:1993xg
82,208,0.206,143.0,0.0885,47530.0,1937.0,Zghiche:1993xg
82,208,0.206,143.0,0.0935,47230.0,1940.0,Zghiche:1993xg
82,208,0.206,143.0,0.0985,45900.0,1900.0,Zghiche:1993xg
82,208,0.206,143.0,0.1035,44680.0,1864.0,Zghiche:1993xg
82,208,0.206,143.0,0.1085,45730.0,1923.0,Zghiche:1993xg
82,208,0.206,143.0,0.1135,44220.0,1874.0,Zghiche:1993xg
82,208,0.206,143.0,0.1185,41140.0,1760.0,Zghiche:1993xg
82,208,0.206,143.0,0.1235,37810.0,1640.0,Zghiche:1993xg
82,208,0.206,143.0,0.1285,34450.0,1541.0,Zghiche:1993xg
82,208,0.206,143.0,0.1335,29190.0,1421.0,Zghiche:1993xg
82,208,0.262,35.0,0.0495,4355000.0,235600.0,Zghiche:1993xg
82,208,0.262,35.0,0.0545,3975000.0,228200.0,Zghiche:1993xg
82,208,0.262,35.0,0.0595,3279000.0,217200.0,Zghiche:1993xg
82,208,0.262,35.0,0.0645,2632000.0,212500.0,Zghiche:1993xg
82,208,0.262,35.0,0.0695,2016000.0,214600.0,Zghiche:1993xg
82,208,0.262,35.0,0.0745,1529000.0,225100.0,Zghiche:1993xg
82,208,0.262,35.0,0.0795,1294000.0,244500.0,Zghiche:1993xg
82,208,0.262,35.0,0.0845,1131000.0,270900.0,Zghiche:1993xg
82,208,0.262,35.0,0.0895,786300.0,303700.0,Zghiche:1993xg
82,208,0.262,35.0,0.0945,830100.0,346700.0,Zghiche:1993xg
82,208,0.262,35.0,0.0995,744700.0,398600.0,Zghiche:1993xg
82,208,0.262,35.0,0.1045,737700.0,461700.0,Zghiche:1993xg
82,208,0.262,60.0,0.0045,468500.0,16740.0,Zghiche:1993xg
82,208,0.262,60.0,0.0095,280100.0,10150.0,Zghiche:1993xg
82,208,0.262,60.0,0.0145,274700.0,9990.0,Zghiche:1993xg
82,208,0.262,60.0,0.0195,346000.0,12620.0,Zghiche:1993xg
82,208,0.262,60.0,0.0245,378200.0,13890.0,Zghiche:1993xg
82,208,0.262,60.0,0.0295,412900.0,15280.0,Zghiche:1993xg
82,208,0.262,60.0,0.0345,423600.0,15800.0,Zghiche:1993xg
82,208,0.262,60.0,0.0395,449700.0,16910.0,Zghiche:1993xg
82,208,0.262,60.0,0.0445,458300.0,17380.0,Zghiche:1993xg
82,208,0.262,60.0,0.0495,458400.0,17530.0,Zghiche:1993xg
82,208,0.262,60.0,0.0545,465400.0,17940.0,Zghiche:1993xg
82,208,0.262,60.0,0.0595,460500.0,17910.0,Zghiche:1993xg
82,208,0.262,60.0,0.0645,457300.0,17950.0,Zghiche:1993xg
82,208,0.262,60.0,0.0695,441300.0,17480.0,Zghiche:1993xg
82,208,0.262,60.0,0.0745,422800.0,16930.0,Zghiche:1993xg
82,208,0.262,60.0,0.0795,405200.0,16420.0,Zghiche:1993xg
82,208,0.262,60.0,0.0845,381500.0,15700.0,Zghiche:1993xg
82,208,0.262,60.0,0.0895,332200.0,14020.0,Zghiche:1993xg
82,208,0.262,60.0,0.0945,287000.0,12600.0,Zghiche:1993xg
82,208,0.262,60.0,0.0995,248500.0,11590.0,Zghiche:1993xg
82,208,0.262,60.0,0.1045,209800.0,10800.0,Zghiche:1993xg
82,208,0.262,60.0,0.1095,186800.0,10780.0,Zghiche:1993xg
82,208,0.262,60.0,0.1145,148300.0,10580.0,Zghiche:1993xg
82,208,0.262,60.0,0.1195,117300.0,10950.0,Zghiche:1993xg
82,208,0.262,60.0,0.1245,111000.0,12080.0,Zghiche:1993xg
82,208,0.262,60.0,0.1295,108500.0,13540.0,Zghiche:1993xg
82,208,0.262,60.0,0.1345,92970.0,15230.0,Zghiche:1993xg
82,208,0.262,60.0,0.1395,72900.0,17580.0,Zghiche:1993xg
82,208,0.262,60.0,0.1445,77680.0,21200.0,Zghiche:1993xg
82,208,0.262,60.0,0.1495,73830.0,26340.0,Zghiche:1993xg
82,208,0.262,60.0,0.1545,68990.0,33750.0,Zghiche:1993xg
82,208,0.262,60.0,0.1595,75530.0,44020.0,Zghiche:1993xg
82,208,0.262,90.0,0.0095,6481.0,229.2,Zghiche:1993xg
82,208,0.262,90.0,0.0145,14920.0,531.9,Zghiche:1993xg
82,208,0.262,90.0,0.0195,22420.0,806.3,Zghiche:1993xg
82,208,0.262,90.0,0.0245,29400.0,1067.0,Zghiche:1993xg
82,208,0.262,90.0,0.0295,36130.0,1322.0,Zghiche:1993xg
82,208,0.262,90.0,0.0345,43070.0,1590.0,Zghiche:1993xg
82,208,0.262,90.0,0.0395,49310.0,1836.0,Zghiche:1993xg
82,208,0.262,90.0,0.0445,57000.0,2141.0,Zghiche:1993xg
82,208,0.262,90.0,0.0495,64250.0,2434.0,Zghiche:1993xg
82,208,0.262,90.0,0.0545,68360.0,2611.0,Zghiche:1993xg
82,208,0.262,90.0,0.0595,75300.0,2901.0,Zghiche:1993xg
82,208,0.262,90.0,0.0645,79720.0,3096.0,Zghiche:1993xg
82,208,0.262,90.0,0.0695,85920.0,3365.0,Zghiche:1993xg
82,208,0.262,90.0,0.0745,88900.0,3510.0,Zghiche:1993xg
82,208,0.262,90.0,0.0795,92360.0,3676.0,Zghiche:1993xg
82,208,0.262,90.0,0.0845,94550.0,3794.0,Zghiche:1993xg
82,208,0.262,90.0,0.0895,95620.0,3867.0,Zghiche:1993xg
82,208,0.262,90.0,0.0945,95370.0,3888.0,Zghiche:1993xg
82,208,0.262,90.0,0.0995,94740.0,3893.0,Zghiche:1993xg
82,208,0.262,90.0,0.1045,92940.0,3849.0,Zghiche:1993xg
82,208,0.262,90.0,0.1095,91620.0,3823.0,Zghiche:1993xg
82,208,0.262,90.0,0.1145,89900.0,3781.0,Zghiche:1993xg
82,208,0.262,90.0,0.1195,85940.0,3642.0,Zghiche:1993xg
82,208,0.262,90.0,0.1245,80000.0,3419.0,Zghiche:1993xg
82,208,0.262,90.0,0.1295,73970.0,3191.0,Zghiche:1993xg
82,208,0.262,90.0,0.1345,62770.0,2750.0,Zghiche:1993xg
82,208,0.262,90.0,0.1395,63530.0,2843.0,Zghiche:1993xg
82,208,0.262,90.0,0.1445,53460.0,2531.0,Zghiche:1993xg
82,208,0.262,90.0,0.1495,49110.0,2558.0,Zghiche:1993xg
82,208,0.262,90.0,0.1545,45680.0,2755.0,Zghiche:1993xg
82,208,0.262,90.0,0.1595,41120.0,3079.0,Zghiche:1993xg
82,208,0.262,90.0,0.1645,41090.0,3682.0,Zghiche:1993xg
82,208,0.262,90.0,0.1695,39780.0,4417.0,Zghiche:1993xg
82,208,0.262,90.0,0.1745,39470.0,5417.0,Zghiche:1993xg
82,208,0.262,143.0,0.0095,333.0,11.76,Zghiche:1993xg
82,208,0.262,143.0,0.0145,552.1,19.68,Zghiche:1993xg
82,208,0.262,143.0,0.0195,1042.0,37.47,Zghiche:1993xg
82,208,0.262,143.0,0.0245,1865.0,67.66,Zghiche:1993xg
82,208,0.262,143.0,0.0295,2888.0,105.7,Zghiche:1993xg
82,208,0.262,143.0,0.0345,4268.0,157.6,Zghiche:1993xg
82,208,0.262,143.0,0.0395,5981.0,222.7,Zghiche:1993xg
82,208,0.262,143.0,0.0445,7297.0,274.1,Zghiche:1993xg
82,208,0.262,143.0,0.0495,8721.0,330.4,Zghiche:1993xg
82,208,0.262,143.0,0.0545,11290.0,431.3,Zghiche:1993xg
82,208,0.262,143.0,0.0595,12470.0,480.3,Zghiche:1993xg
82,208,0.262,143.0,0.0645,14940.0,580.3,Zghiche:1993xg
82,208,0.262,143.0,0.0695,15850.0,620.7,Zghiche:1993xg
82,208,0.262,143.0,0.0745,18110.0,715.0,Zghiche:1993xg
82,208,0.262,143.0,0.0795,20410.0,812.3,Zghiche:1993xg
82,208,0.262,143.0,0.0845,22070.0,885.4,Zghiche:1993xg
82,208,0.262,143.0,0.0895,23300.0,942.3,Zghiche:1993xg
82,208,0.262,143.0,0.0945,24560.0,1001.0,Zghiche:1993xg
82,208,0.262,143.0,0.0995,26600.0,1093.0,Zghiche:1993xg
82,208,0.262,143.0,0.1045,27290.0,1130.0,Zghiche:1993xg
82,208,0.262,143.0,0.1095,28200.0,1177.0,Zghiche:1993xg
82,208,0.262,143.0,0.1145,30150.0,1268.0,Zghiche:1993xg
82,208,0.262,143.0,0.1195,30810.0,1305.0,Zghiche:1993xg
82,208,0.262,143.0,0.1245,30530.0,1303.0,Zghiche:1993xg
82,208,0.262,143.0,0.1295,30650.0,1318.0,Zghiche:1993xg
82,208,0.262,143.0,0.1345,30530.0,1323.0,Zghiche:1993xg
82,208,0.262,143.0,0.1395,29480.0,1287.0,Zghiche:1993xg
82,208,0.262,143.0,0.1445,29630.0,1303.0,Zghiche:1993xg
82,208,0.262,143.0,0.1495,27190.0,1204.0,Zghiche:1993xg
82,208,0.262,143.0,0.1545,26070.0,1163.0,Zghiche:1993xg
82,208,0.262,143.0,0.1595,25910.0,1164.0,Zghiche:1993xg
82,208,0.262,143.0,0.1645,24430.0,1105.0,Zghiche:1993xg
82,208,0.262,143.0,0.1695,24120.0,1100.0,Zghiche:1993xg
82,208,0.262,143.0,0.1745,22070.0,1016.0,Zghiche:1993xg
82,208,0.262,143.0,0.1795,19460.0,911.3,Zghiche:1993xg
82,208,0.262,143.0,0.1845,18600.0,905.4,Zghiche:1993xg
82,208,0.262,143.0,0.1895,17120.0,916.9,Zghiche:1993xg
82,208,0.31,35.0,0.0025,13410000.0,501000.0,Zghiche:1993xg
82,208,0.31,35.0,0.0075,11600000.0,427600.0,Zghiche:1993xg
82,208,0.31,35.0,0.0125,4232000.0,175100.0,Zghiche:1993xg
82,208,0.31,35.0,0.0175,3774000.0,156100.0,Zghiche:1993xg
82,208,0.31,35.0,0.0225,3711000.0,151900.0,Zghiche:1993xg
82,208,0.31,35.0,0.0275,3496000.0,144000.0,Zghiche:1993xg
82,208,0.31,35.0,0.0325,3491000.0,143600.0,Zghiche:1993xg
82,208,0.31,35.0,0.0375,3390000.0,140500.0,Zghiche:1993xg
82,208,0.31,35.0,0.0425,3225000.0,135300.0,Zghiche:1993xg
82,208,0.31,35.0,0.0475,3042000.0,129700.0,Zghiche:1993xg
82,208,0.31,35.0,0.0525,2885000.0,125100.0,Zghiche:1993xg
82,208,0.31,35.0,0.0575,2744000.0,121100.0,Zghiche:1993xg
82,208,0.31,35.0,0.0625,2403000.0,110500.0,Zghiche:1993xg
82,208,0.31,35.0,0.0675,1991000.0,98100.0,Zghiche:1993xg
82,208,0.31,35.0,0.0725,1710000.0,90560.0,Zghiche:1993xg
82,208,0.31,35.0,0.0775,1438000.0,84090.0,Zghiche:1993xg
82,208,0.31,35.0,0.0825,1137000.0,78100.0,Zghiche:1993xg
82,208,0.31,35.0,0.0875,931500.0,75900.0,Zghiche:1993xg
82,208,0.31,35.0,0.0925,716600.0,75120.0,Zghiche:1993xg
82,208,0.31,35.0,0.0975,561200.0,77090.0,Zghiche:1993xg
82,208,0.31,35.0,0.1025,445000.0,81320.0,Zghiche:1993xg
82,208,0.31,35.0,0.1075,369900.0,87780.0,Zghiche:1993xg
82,208,0.31,35.0,0.1125,250200.0,96100.0,Zghiche:1993xg
82,208,0.31,35.0,0.1175,210900.0,107400.0,Zghiche:1993xg
82,208,0.31,35.0,0.1225,172400.0,121500.0,Zghiche:1993xg
82,208,0.31,35.0,0.1275,128600.0,139100.0,Zghiche:1993xg
82,208,0.31,35.0,0.1325,175800.0,161000.0,Zghiche:1993xg
82,208,0.31,35.0,0.1375,115500.0,187600.0,Zghiche:1993xg
82,208,0.31,35.0,0.1425,48330.0,220000.0,Zghiche:1993xg
82,208,0.31,35.0,0.1475,37020.0,259500.0,Zghiche:1993xg
82,208,0.31,60.0,0.0025,20320.0,748.2,Zghiche:1993xg
82,208,0.31,60.0,0.0075,45790.0,1638.0,Zghiche:1993xg
82,208,0.31,60.0,0.0125,94930.0,3416.0,Zghiche:1993xg
82,208,0.31,60.0,0.0175,131900.0,4787.0,Zghiche:1993xg
82,208,0.31,60.0,0.0225,161700.0,5920.0,Zghiche:1993xg
82,208,0.31,60.0,0.0275,184300.0,6806.0,Zghiche:1993xg
82,208,0.31,60.0,0.0325,203000.0,7561.0,Zghiche:1993xg
82,208,0.31,60.0,0.0375,228300.0,8577.0,Zghiche:1993xg
82,208,0.31,60.0,0.0425,243700.0,9233.0,Zghiche:1993xg
82,208,0.31,60.0,0.0475,255500.0,9763.0,Zghiche:1993xg
82,208,0.31,60.0,0.0525,260800.0,10050.0,Zghiche:1993xg
