qvcenter,nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.35,0.0059,99.2612,7.1751,0.0043,19.5665,0.0041
0.35,0.0109,136.0687,7.175,0.0092,50.4558,0.0093
0.35,0.0155,162.0473,7.4456,0.0144,73.1127,0.0146
0.35,0.0205,173.9452,7.3106,0.0194,99.8856,0.0194
0.35,0.0255,180.428,7.0398,0.024,124.599,0.024
0.35,0.0305,185.8277,7.1756,0.0299,149.0588,0.0302
0.35,0.035,190.1459,7.9877,0.0344,172.2281,0.0344
0.35,0.0391,196.6314,10.8311,0.0399,193.3422,0.0401
0.35,0.0422,200.9538,7.7169,0.0452,227.0626,0.0451
0.35,0.0458,195.5275,9.2057,0.0499,262.3252,0.0499
0.35,0.0508,186.5771,9.206,0.0548,276.4905,0.0547
0.35,0.0552,193.6032,11.3721,0.06,292.4578,0.06
0.35,0.061,199.8127,11.3721,0.0653,314.8574,0.0652
0.35,0.0651,194.3847,12.8613,0.0705,330.8247,0.0706
0.35,0.0702,190.5784,12.7255,0.0757,343.7045,0.0756
0.35,0.075,194.0835,13.1326,0.0802,351.1793,0.0805
0.35,0.0803,195.9624,12.3203,0.0896,356.8672,0.0895
0.35,0.0859,199.194,12.1844,0.0957,351.4821,0.0957
0.35,0.0907,203.7822,22.0668,0.1004,347.3794,0.1005
0.35,0.0949,207.2891,12.1842,0.1056,355.8852,0.1058
0.35,0.101,208.8948,13.673,0.1104,353.0689,0.1101
0.35,0.1059,194.5293,14.0799,0.1158,344.8517,0.1159
0.35,0.1116,194.5115,12.9972,0.121,332.7742,0.121
0.35,0.1154,186.648,12.3194,0.1254,316.8354,0.1255
0.35,0.1203,183.1128,13.6736,0.1305,303.4711,0.1304
0.35,0.1257,178.764,12.0488,0.1357,287.2772,0.1356
0.35,0.1303,164.9411,12.8613,0.1454,272.6403,0.146
0.35,0.1352,156.2619,13.4028,0.1502,253.615,0.1505
0.35,0.1403,152.4552,11.5077,0.1557,242.053,0.1556
0.35,0.1458,127.5285,18.9529,0.1607,234.3491,0.1608
0.35,0.151,125.3464,17.4643,0.1661,235.3941,0.1662
0.35,0.1549,116.1285,15.9746,0.1713,220.7439,0.1713
0.35,0.1608,99.5942,16.9224,0.1756,224.8733,0.176
0.35,0.1657,85.2287,16.6519,0.1811,227.4623,0.181
0.35,0.1708,83.5884,14.3504,0.1866,226.192,0.1867
0.35,0.1755,66.7869,14.2153,0.1912,238.298,0.1912
0.35,0.1802,55.6712,15.2983,0.1958,249.1179,0.1958
0.35,0.1858,52.6754,16.1102,0.2006,247.8454,0.2007
0.35,0.1909,36.4143,15.4329,0.2064,236.5416,0.2061
0.35,0.1949,21.5102,13.8084,0.2104,259.4523,0.2105
0.35,0.2003,18.5151,13.5384,0.2158,243.259,0.2159
0.35,0.2052,35.5577,17.7344,0.2207,264.1139,0.2211
0.35,0.2104,20.9208,20.9837,0.2259,284.7122,0.2262
0.35,0.2154,52.0424,23.6909,0.231,306.0823,0.2307
0.35,0.2205,47.153,25.9924,0.2361,327.1951,0.2362
0.35,0.2256,46.3251,28.9713,0.2416,366.062,0.2411
0.35,0.2305,33.3134,36.6866,0.246,350.6375,0.2459
0.35,0.2356,28.6948,36.9582,0.2517,397.9957,0.2513
0.35,0.2402,-5.7059,46.2992,,,
0.35,0.2457,53.0318,53.2027,,,
0.35,0.2507,22.4206,61.326,,,
0.45,0.0061,13.4901,3.495,0.0058,10.6144,13.5948
