Z,A,E0,ThetaDeg,nu,cross,error,dataSet
92,238,0.1,160.0,0.0098,767.8,15.36,Blatchley:1986qd
92,238,0.1,160.0,0.0151,38390.0,15.36,Blatchley:1986qd
92,238,0.1,160.0,0.0206,84040.0,4815.0,Blatchley:1986qd
92,238,0.1,160.0,0.028,105800.0,6415.0,Blatchley:1986qd
92,238,0.1,160.0,0.0354,114700.0,7839.0,Blatchley:1986qd
92,238,0.1,160.0,0.0428,120500.0,9319.0,Blatchley:1986qd
92,238,0.1,160.0,0.0503,115400.0,10940.0,Blatchley:1986qd
92,238,0.1,160.0,0.0578,120300.0,10940.0,Blatchley:1986qd
92,238,0.1004,140.0,0.004,34660.0,8190.0,Blatchley:1986qd
92,238,0.1004,140.0,0.0089,71150.0,5070.0,Blatchley:1986qd
92,238,0.1004,140.0,0.0139,83960.0,6006.0,Blatchley:1986qd
92,238,0.1004,140.0,0.0189,98840.0,7215.0,Blatchley:1986qd
92,238,0.1004,140.0,0.024,115200.0,8700.0,Blatchley:1986qd
92,238,0.1004,140.0,0.029,123400.0,14070.0,Blatchley:1986qd
92,238,0.1004,140.0,0.034,125000.0,11210.0,Blatchley:1986qd
92,238,0.1004,140.0,0.0391,135000.0,13140.0,Blatchley:1986qd
92,238,0.1004,140.0,0.0442,136800.0,15170.0,Blatchley:1986qd
92,238,0.1004,140.0,0.0492,131100.0,17520.0,Blatchley:1986qd
92,238,0.1492,160.0,0.0073,11520.0,15.36,Blatchley:1986qd
92,238,0.1492,160.0,0.0163,25840.0,1428.0,Blatchley:1986qd
92,238,0.1492,160.0,0.0264,33930.0,2189.0,Blatchley:1986qd
92,238,0.1492,160.0,0.0361,47800.0,3201.0,Blatchley:1986qd
92,238,0.1492,160.0,0.0461,58970.0,3923.0,Blatchley:1986qd
92,238,0.1492,160.0,0.0557,67770.0,4703.0,Blatchley:1986qd
92,238,0.1492,160.0,0.0659,68620.0,4833.0,Blatchley:1986qd
92,238,0.1492,160.0,0.0756,66760.0,5112.0,Blatchley:1986qd
92,238,0.1492,160.0,0.0858,54790.0,4747.0,Blatchley:1986qd
92,238,0.1492,160.0,0.096,59900.0,4747.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0109,247800.0,23640.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0238,323400.0,18260.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0352,372300.0,22090.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0456,367500.0,22010.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0552,357300.0,25430.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0641,323300.0,26800.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0722,348000.0,30760.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0797,373900.0,29670.0,Blatchley:1986qd
92,238,0.1565,90.0,0.0866,293800.0,43010.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0051,5129.0,337.6,Blatchley:1986qd
92,238,0.1592,140.0,0.0112,14560.0,922.5,Blatchley:1986qd
92,238,0.1592,140.0,0.0165,18810.0,1287.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0215,23680.0,1689.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0265,28130.0,2063.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0315,34660.0,2560.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0365,38200.0,2896.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0417,44670.0,3376.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0467,47870.0,3714.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0518,52720.0,4067.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0568,53960.0,4248.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0619,57900.0,4522.0,Blatchley:1986qd
92,238,0.1592,140.0,0.067,56850.0,4552.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0721,57470.0,4646.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0771,56490.0,4678.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0822,53620.0,4620.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0872,49630.0,4735.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0919,40810.0,4545.0,Blatchley:1986qd
92,238,0.1592,140.0,0.0975,37400.0,4813.0,Blatchley:1986qd
92,238,0.1592,140.0,0.1026,32460.0,5320.0,Blatchley:1986qd
92,238,0.191,160.0,0.0021,1814.0,143.6,Blatchley:1986qd
92,238,0.191,160.0,0.0056,7735.0,555.1,Blatchley:1986qd
92,238,0.191,160.0,0.0159,12620.0,973.1,Blatchley:1986qd
92,238,0.191,160.0,0.0261,17720.0,1459.0,Blatchley:1986qd
92,238,0.191,160.0,0.039,22920.0,1952.0,Blatchley:1986qd
92,238,0.191,160.0,0.0481,29540.0,2523.0,Blatchley:1986qd
92,238,0.191,160.0,0.0582,36270.0,2957.0,Blatchley:1986qd
92,238,0.191,160.0,0.0683,40190.0,3206.0,Blatchley:1986qd
92,238,0.191,160.0,0.0785,44620.0,3708.0,Blatchley:1986qd
92,238,0.191,160.0,0.0887,43030.0,3715.0,Blatchley:1986qd
92,238,0.191,160.0,0.0988,43230.0,3750.0,Blatchley:1986qd
92,238,0.191,160.0,0.109,36130.0,3422.0,Blatchley:1986qd
92,238,0.191,160.0,0.1192,31890.0,3360.0,Blatchley:1986qd
92,238,0.191,160.0,0.1294,25770.0,3267.0,Blatchley:1986qd
92,238,0.191,160.0,0.1396,21240.0,3598.0,Blatchley:1986qd
92,238,0.191,160.0,0.151,29430.0,3598.0,Blatchley:1986qd
92,238,0.1959,90.0,0.0159,112000.0,5174.0,Blatchley:1986qd
92,238,0.1959,90.0,0.0311,171600.0,8555.0,Blatchley:1986qd
92,238,0.1959,90.0,0.045,199700.0,10450.0,Blatchley:1986qd
92,238,0.1959,90.0,0.0579,222400.0,11900.0,Blatchley:1986qd
92,238,0.1959,90.0,0.0696,210900.0,12180.0,Blatchley:1986qd
92,238,0.1959,90.0,0.0804,205800.0,12630.0,Blatchley:1986qd
92,238,0.1959,90.0,0.0904,188200.0,12930.0,Blatchley:1986qd
92,238,0.1959,90.0,0.0996,158000.0,13130.0,Blatchley:1986qd
92,238,0.1959,90.0,0.108,126000.0,13540.0,Blatchley:1986qd
92,238,0.1959,90.0,0.1158,124000.0,15760.0,Blatchley:1986qd
92,238,0.1959,90.0,0.123,124200.0,19170.0,Blatchley:1986qd
