qvcenter,nu_RL,RL,RLerr,nu_RT,RT,RTerr
0.3,0.01485,1470.2,413.7,0.00455,483.6,230.6
0.3,0.02,2932.7,396.2,0.0095,1728.15,325.05
0.3,0.02495,3721.2,652.6,0.0144,2153.7,230.6
0.3,0.03,4344.6,658.4,0.01935,2443.25,158.75
0.3,0.03495,4263.05,670.05,0.0246,2939.3,192.8
0.3,0.04005,4004.75,536.05,0.0296,3354.75,226.85
0.3,0.04515,3862.95,425.35,0.03455,3892.5,241.9
0.3,0.05,3824.1,437,0.0397,4447.75,234.35
0.3,0.05515,3775.55,431.15,0.0447,4962.75,226.85
0.3,0.06005,3771.7,489.4,0.04965,5353.05,215.45
0.3,0.06495,3734.8,460.3,0.05475,5692.9,234.3
0.3,0.07,3721.15,407.85,0.0598,5940.8,241.9
0.3,0.07495,3692.05,378.75,0.06495,6142.05,223.05
0.3,0.0799,3618.25,367.05,0.0699,6253.85,215.45
0.3,0.085,3507.55,349.55,0.07485,6293.9,196.5
0.3,0.08995,3346.35,343.75,0.08005,6301.1,185.2
0.3,0.09485,3286.15,314.65,0.085,6279.35,185.25
0.3,0.09985,3251.2,279.7,0.08985,6298,185.2
0.3,0.1049,3216.2,221.4,0.0949,6264.9,173.9
0.3,0.10985,3173.5,326.3,0.09965,6095.8,147.4
0.3,0.11495,2868.55,425.35,0.10495,5850.95,105.85
0.3,0.1199,2423.85,477.75,0.10975,5524.35,143.65
0.3,0.12495,2206.3,571,0.11475,5419.5,181.4
0.3,0.12995,2120.85,640.95,0.11985,5254.1,219.2
0.3,0.13505,1982.95,658.35,0.12485,5057.2,245.7
0.3,0.1399,1833.4,664.2,0.12995,4750.7,283.5
0.3,0.14495,1711.05,728.35,0.135,4439.15,275.95
0.3,0.1499,1860.6,908.9,0.1398,4107.55,268.35
0.3,0.1549,2186.9,1142,0.145,3773.25,298.65
0.3,0.16,2662.75,1462.45,0.15,3451.65,381.75
0.3,0.16505,2785.05,1678.05,0.15505,3142.65,396.85
0.3,0.1701,2785.1,1957.7,0.16,2882.75,453.55
0.3,0.1749,2328.65,1905.25,0.1649,2815.7,536.7
0.3,,,,0.17015,2868.25,570.75
0.3,,,,0.17495,3112.4,574.5
0.3,,,,0.18035,3357.65,559.45
0.3,,,,0.18525,3497.25,559.45
0.3,,,,0.1902,3520.9,604.8
0.3,,,,0.19515,3562.2,680.4
0.3,,,,0.2003,3467.3,695.5
0.3,,,,0.2053,3552.65,721.95
0.3,,,,0.2103,3701.05,710.55
0.3,,,,0.21535,3899.8,729.5
