qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.1,0.01,-0.00035,0.0001,5.858028e-09,1.632942e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,5.858028e-09,1.632942e-08
0.1,0.01,-0.00025,0.0002,6.335062e-09,1.760832e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,6.335062e-09,1.760832e-08
0.1,0.01,-0.00015,0.0003,6.849244e-09,1.898398e-08,0.0,0.0,-0.0,-0.0,0.0,0.0,6.849244e-09,1.898398e-08
0.1,0.01,-5e-05,0.0004,7.403323e-09,2.046343e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.403323e-09,2.046343e-08
0.1,0.01,5e-05,0.0005,8.000241e-09,2.205417e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.000241e-09,2.205417e-08
0.1,0.01,0.00015,0.0006,8.643144e-09,2.376422e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.643144e-09,2.376422e-08
0.1,0.01,0.00025,0.0007,9.335396e-09,2.560215e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.335396e-09,2.560215e-08
0.1,0.01,0.00035,0.0008,1.008059e-08,2.757713e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.008059e-08,2.757713e-08
0.1,0.01,0.00045,0.0009,1.088258e-08,2.969894e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.088258e-08,2.969894e-08
0.1,0.01,0.00055,0.001,1.174545e-08,3.197803e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.174545e-08,3.197803e-08
0.10001,0.01,0.00065,0.0011,1.26736e-08,3.442554e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.26736e-08,3.442554e-08
0.10001,0.01,0.00075,0.0012,1.36717e-08,3.705339e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.36717e-08,3.705339e-08
0.10001,0.01,0.00085,0.0013,1.474475e-08,3.987427e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.474475e-08,3.987427e-08
0.10001,0.01,0.00095,0.0014,1.589807e-08,4.290176e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.589807e-08,4.290176e-08
0.10001,0.01,0.00105,0.0015,1.713737e-08,4.615031e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.713737e-08,4.615031e-08
0.10001,0.01,0.00115,0.0016,1.846868e-08,4.963535e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.846868e-08,4.963535e-08
0.10001,0.01,0.00125,0.0017,1.989849e-08,5.337332e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.989849e-08,5.337332e-08
0.10002,0.01,0.00135,0.0018,2.143367e-08,5.738178e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.143367e-08,5.738178e-08
0.10002,0.01,0.00145,0.0019,2.308156e-08,6.167942e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.308156e-08,6.167942e-08
0.10002,0.01,0.00155,0.002,2.485e-08,6.628617e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.485e-08,6.628617e-08
0.10002,0.01,0.00165,0.0021,2.674728e-08,7.122328e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.674728e-08,7.122328e-08
0.10002,0.01,0.00175,0.0022,2.878229e-08,7.65134e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.878229e-08,7.65134e-08
0.10003,0.01,0.00185,0.0023,3.096445e-08,8.218065e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.096445e-08,8.218065e-08
0.10003,0.01,0.00195,0.0024,3.33038e-08,8.825086e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.33038e-08,8.825086e-08
0.10003,0.01,0.00205,0.0025,3.5811e-08,9.475224e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.5811e-08,9.475224e-08
0.10003,0.01,0.00215,0.0026,3.84974e-08,1.017202e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.84974e-08,1.017202e-07
0.10004,0.01,0.00225,0.0027,4.137506e-08,1.09227e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.137506e-08,1.09227e-07
0.10004,0.01,0.00235,0.0028,4.44568e-08,1.175564e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.44568e-08,1.175564e-07
0.10004,0.01,0.00245,0.0029,4.775624e-08,1.281331e-07,0.0,0.0,0.0,0.0,0.0,0.0,4.775624e-08,1.281331e-07
0.10004,0.01,0.00255,0.003,5.128783e-08,1.480137e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.128783e-08,1.480137e-07
0.10005,0.01,0.00265,0.0031,5.506693e-08,2.095263e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.506693e-08,2.095263e-07
0.10005,0.01,0.00275,0.0032,5.910983e-08,4.47805e-07,0.0,0.0,0.0,0.0,0.0,0.0,5.910983e-08,4.47805e-07
0.10005,0.01,0.00285,0.0033,6.343382e-08,1.376297e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.343382e-08,1.376297e-06
0.10006,0.01,0.00295,0.0034,6.805724e-08,4.764358e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.805724e-08,4.764358e-06
