qv,q2,ex,nu,RTTOT,RLTOT,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.4,0.16,-0.00706,0.0001,8.418466e-13,1.401374e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,8.418466e-13,1.401374e-10
0.4,0.16,-0.00696,0.0002,9.255687e-13,1.500281e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,9.255687e-13,1.500281e-10
0.4,0.16,-0.00686,0.0003,1.017367e-12,1.605956e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.017367e-12,1.605956e-10
0.4,0.16,-0.00676,0.0004,1.117996e-12,1.718846e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.117996e-12,1.718846e-10
0.4,0.16,-0.00666,0.0005,1.228277e-12,1.839429e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.228277e-12,1.839429e-10
0.4,0.16,-0.00656,0.0006,1.349105e-12,1.96821e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.349105e-12,1.96821e-10
0.4,0.16,-0.00646,0.0007,1.481455e-12,2.105729e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.481455e-12,2.105729e-10
0.4,0.16,-0.00636,0.0008,1.62639e-12,2.252559e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.62639e-12,2.252559e-10
0.4,0.16,-0.00626,0.0009,1.785067e-12,2.409309e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.785067e-12,2.409309e-10
0.4,0.16,-0.00616,0.001,1.958743e-12,2.576627e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.958743e-12,2.576627e-10
0.4,0.16,-0.00606,0.0011,2.14879e-12,2.755202e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,2.14879e-12,2.755202e-10
0.4,0.16,-0.00596,0.0012,2.356698e-12,2.945765e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,2.356698e-12,2.945765e-10
0.4,0.16,-0.00586,0.0013,2.584088e-12,3.149093e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,2.584088e-12,3.149093e-10
0.4,0.16,-0.00576,0.0014,2.832722e-12,3.366013e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,2.832722e-12,3.366013e-10
0.4,0.16,-0.00566,0.0015,3.104517e-12,3.597403e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,3.104517e-12,3.597403e-10
0.4,0.16,-0.00556,0.0016,3.401556e-12,3.844194e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,3.401556e-12,3.844194e-10
0.4,0.16,-0.00546,0.0017,3.7261e-12,4.107376e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,3.7261e-12,4.107376e-10
0.4,0.16,-0.00536,0.0018,4.080607e-12,4.388001e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,4.080607e-12,4.388001e-10
0.4,0.16,-0.00526,0.0019,4.467746e-12,4.687184e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,4.467746e-12,4.687184e-10
0.4,0.16,-0.00516,0.002,4.890413e-12,5.00611e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,4.890413e-12,5.00611e-10
0.4,0.16,-0.00506,0.0021,5.351752e-12,5.346038e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,5.351752e-12,5.346038e-10
0.4,0.16,-0.00496,0.0022,5.855175e-12,5.7083e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,5.855175e-12,5.7083e-10
0.4,0.15999,-0.00486,0.0023,6.40438e-12,6.094314e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,6.40438e-12,6.094314e-10
0.4,0.15999,-0.00476,0.0024,7.00338e-12,6.505581e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,7.00338e-12,6.505581e-10
0.4,0.15999,-0.00466,0.0025,7.656524e-12,6.943697e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,7.656524e-12,6.943697e-10
0.4,0.15999,-0.00456,0.0026,8.368526e-12,7.410351e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,8.368526e-12,7.410351e-10
0.4,0.15999,-0.00446,0.0027,9.144493e-12,7.907335e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,9.144493e-12,7.907335e-10
0.4,0.15999,-0.00436,0.0028,9.989959e-12,8.436552e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,9.989959e-12,8.436552e-10
0.4,0.15999,-0.00426,0.0029,1.091091e-11,9.000017e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.091091e-11,9.000017e-10
0.4,0.15999,-0.00416,0.003,1.191384e-11,9.599867e-10,0.0,0.0,-0.0,-0.0,0.0,0.0,1.191384e-11,9.599867e-10
0.4,0.15999,-0.00406,0.0031,1.300577e-11,1.023837e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,1.300577e-11,1.023837e-09
0.4,0.15999,-0.00396,0.0032,1.419429e-11,1.091791e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,1.419429e-11,1.091791e-09
0.4,0.15999,-0.00386,0.0033,1.548761e-11,1.164106e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,1.548761e-11,1.164106e-09
0.4,0.15999,-0.00376,0.0034,1.689462e-11,1.241048e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,1.689462e-11,1.241048e-09
0.4,0.15999,-0.00366,0.0035,1.842494e-11,1.322906e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,1.842494e-11,1.322906e-09
0.4,0.15999,-0.00356,0.0036,2.008894e-11,1.409979e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,2.008894e-11,1.409979e-09
0.4,0.15999,-0.00346,0.0037,2.189783e-11,1.50259e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,2.189783e-11,1.50259e-09
0.4,0.15999,-0.00336,0.0038,2.386375e-11,1.601076e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,2.386375e-11,1.601076e-09
0.4,0.15998,-0.00326,0.0039,2.599977e-11,1.705797e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,2.599977e-11,1.705797e-09
0.4,0.15998,-0.00316,0.004,2.832003e-11,1.817132e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,2.832003e-11,1.817132e-09
0.4,0.15998,-0.00306,0.0041,3.083978e-11,1.935485e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,3.083978e-11,1.935485e-09
0.4,0.15998,-0.00296,0.0042,3.357547e-11,2.06128e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,3.357547e-11,2.06128e-09
0.4,0.15998,-0.00286,0.0043,3.654486e-11,2.194968e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,3.654486e-11,2.194968e-09
0.4,0.15998,-0.00276,0.0044,3.976708e-11,2.337026e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,3.976708e-11,2.337026e-09
0.4,0.15998,-0.00266,0.0045,4.326279e-11,2.487958e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,4.326279e-11,2.487958e-09
0.4,0.15998,-0.00256,0.0046,4.705423e-11,2.648296e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,4.705423e-11,2.648296e-09
0.4,0.15998,-0.00246,0.0047,5.116537e-11,2.818605e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,5.116537e-11,2.818605e-09
0.4,0.15998,-0.00236,0.0048,5.562203e-11,2.99948e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,5.562203e-11,2.99948e-09
0.4,0.15998,-0.00226,0.0049,6.045202e-11,3.191553e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,6.045202e-11,3.191553e-09
0.4,0.15998,-0.00216,0.005,6.568529e-11,3.39549e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,6.568529e-11,3.39549e-09
0.4,0.15997,-0.00206,0.0051,7.135407e-11,3.611994e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,7.135407e-11,3.611994e-09
0.4,0.15997,-0.00196,0.0052,7.749304e-11,3.841811e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,7.749304e-11,3.841811e-09
0.4,0.15997,-0.00186,0.0053,8.41395e-11,4.085726e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,8.41395e-11,4.085726e-09
0.4,0.15997,-0.00176,0.0054,9.133356e-11,4.344571e-09,0.0,0.0,-0.0,-0.0,0.0,0.0,9.133356e-11,4.344571e-09
0.4,0.15997,-0.00166,0.0055,9.911838e-11,4.619223e-09,0.0,0.0,0.0,0.0,0.0,0.0,9.911838e-11,4.619223e-09
0.4,0.15997,-0.00156,0.0056,1.075403e-10,4.910609e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.075403e-10,4.910609e-09
0.4,0.15997,-0.00146,0.0057,1.166492e-10,5.219709e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.166492e-10,5.219709e-09
0.4,0.15997,-0.00136,0.0058,1.264985e-10,5.547555e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.264985e-10,5.547555e-09
0.4,0.15997,-0.00126,0.0059,1.371457e-10,5.89524e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.371457e-10,5.89524e-09
0.4,0.15996,-0.00116,0.006,1.486525e-10,6.263915e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.486525e-10,6.263915e-09
0.4,0.15996,-0.00106,0.0061,1.610852e-10,6.654796e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.610852e-10,6.654796e-09
0.4,0.15996,-0.00096,0.0062,1.745149e-10,7.069166e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.745149e-10,7.069166e-09
0.4,0.15996,-0.00086,0.0063,1.890177e-10,7.508379e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.890177e-10,7.508379e-09
0.4,0.15996,-0.00076,0.0064,2.046754e-10,7.973864e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.046754e-10,7.973864e-09
0.4,0.15996,-0.00066,0.0065,2.215757e-10,8.467126e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.215757e-10,8.467126e-09
0.4,0.15996,-0.00056,0.0066,2.398125e-10,8.989755e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.398125e-10,8.989755e-09
0.4,0.15996,-0.00045,0.0067,2.594865e-10,9.543427e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.594865e-10,9.543427e-09
0.4,0.15995,-0.00035,0.0068,2.807056e-10,1.012991e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.807056e-10,1.012991e-08
0.4,0.15995,-0.00025,0.0069,3.035852e-10,1.075106e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.035852e-10,1.075106e-08
0.4,0.15995,-0.00015,0.007,3.282489e-10,1.140885e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.282489e-10,1.140885e-08
0.4,0.15995,-5e-05,0.0071,3.548291e-10,1.210534e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.548291e-10,1.210534e-08
0.4,0.15995,5e-05,0.0072,3.834674e-10,1.284271e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.834674e-10,1.284271e-08
0.4,0.15995,0.00015,0.0073,4.143152e-10,1.362326e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.143152e-10,1.362326e-08
0.4,0.15995,0.00025,0.0074,4.475345e-10,1.444942e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.475345e-10,1.444942e-08
0.4,0.15994,0.00035,0.0075,4.832985e-10,1.532372e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.832985e-10,1.532372e-08
0.4,0.15994,0.00045,0.0076,5.217922e-10,1.624886e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.217922e-10,1.624886e-08
0.4,0.15994,0.00055,0.0077,5.632133e-10,1.722766e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.632133e-10,1.722766e-08
0.4,0.15994,0.00065,0.0078,6.077731e-10,1.826309e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.077731e-10,1.826309e-08
0.4,0.15994,0.00075,0.0079,6.556971e-10,1.935829e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.556971e-10,1.935829e-08
0.4,0.15994,0.00085,0.008,7.07226e-10,2.051656e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.07226e-10,2.051656e-08
0.4,0.15993,0.00095,0.0081,7.626169e-10,2.174136e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.626169e-10,2.174136e-08
0.4,0.15993,0.00105,0.0082,8.221439e-10,2.303635e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.221439e-10,2.303635e-08
0.4,0.15993,0.00115,0.0083,8.860995e-10,2.440536e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.860995e-10,2.440536e-08
0.4,0.15993,0.00125,0.0084,9.547954e-10,2.585244e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.547954e-10,2.585244e-08
0.4,0.15993,0.00135,0.0085,1.028564e-09,2.738183e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.028564e-09,2.738183e-08
