Data:Z,A,E0,ThetaDeg,nu,cross,error,dataSet,Fit:ep,theta,nu,nu-nuel,w2,q2,scaled_sigtot_Fe56,sigqe,sigie,sigmec,nuccstot,signonuc,,ratio
26,56,0.1503,90,0.00123,85208,1821.5,Altemus:1973,0.1491,90,0.0012,-0.0002,0.8379,0.0448,1.144,0,0,0,1.144,0,,74482.51748
26,56,0.1503,90,0.00362,119440,1139.8,Altemus:1973,0.1467,90,0.0036,0.0022,0.8431,0.0441,5.512,0,0,0,5.512,0,,21669.08563
26,56,0.1503,90,0.00742,95248,1775.1,Altemus:1973,0.1429,90,0.0074,0.006,0.8513,0.0429,29378.96,0,0,0,29378.96,0,,3.242048051
26,56,0.1503,90,0.00961,88073,1193.1,Altemus:1973,0.1407,90,0.0096,0.0082,0.8561,0.0423,221021.996,0,0,0,221021.996,0,,0.398480701
26,56,0.1503,90,0.01869,95613,1465.7,Altemus:1973,0.1316,90,0.0187,0.0172,0.8759,0.0396,131527.916,1827.748,0,255.684,129444.432,2083.432,,0.726940736
26,56,0.1503,90,0.02479,90954,1483.4,Altemus:1973,0.1255,90,0.0248,0.0233,0.8891,0.0377,83449.86,30424.212,0,2101.684,50923.964,32525.896,,1.089923938
26,56,0.1503,90,0.03092,97369,1583.7,Altemus:1973,0.1194,90,0.0309,0.0295,0.9025,0.0359,82090.008,56993.196,0,3338.036,21758.828,60331.18,,1.186124869
26,56,0.1503,90,0.03703,95254,1639.1,Altemus:1973,0.1133,90,0.037,0.0356,0.9158,0.034,88683.14,71494.904,0,3799.016,13389.168,75293.92,,1.074093678
26,56,0.1503,90,0.04315,93147,1712,Altemus:1973,0.1071,90,0.0432,0.0417,0.9291,0.0322,84985.628,75398.44,0,3794.856,5792.332,79193.296,,1.096032379
26,56,0.1503,90,0.04927,89152,1801,Altemus:1973,0.101,90,0.0493,0.0478,0.9424,0.0304,75631.868,69786.548,0,3448.536,2396.784,73235.084,,1.17876237
26,56,0.1503,90,0.05542,74843,1864,Altemus:1973,0.0949,90,0.0554,0.054,0.9558,0.0285,62292.724,58624.852,0,2910.128,757.744,61534.98,,1.201472583
26,56,0.1503,90,0.06156,61899,2017.3,Altemus:1973,0.0887,90,0.0616,0.0601,0.9692,0.0267,48431.396,45965.712,0,2317.484,148.2,48283.196,,1.278075899
26,56,0.1503,90,0.06772,50044,2318,Altemus:1973,0.0826,90,0.0677,0.0663,0.9826,0.0248,35975.472,34191.508,5.096,1761.916,16.952,35958.52,,1.391058886
26,56,0.1503,90,0.078,38559,3360.6,Altemus:1973,0.0723,90,0.078,0.0765,1.005,0.0217,19977.412,18908.032,28.34,1040.936,0.156,19977.256,,1.930129889
26,56,0.1503,90,0.08825,29398,5352.4,Altemus:1973,0.062,90,0.0882,0.0868,1.0273,0.0187,9736.792,9043.736,103.272,589.836,0,9736.792,,3.019269591
26,56,0.2004,90,0.00166,10607,528.62,Altemus:1973,0.1987,90,0.0017,-0.0009,0.8038,0.0797,0.208,0,0,0,0.208,0,,50995.19231
