E0,Ep,theta,Q2,xs,err,f1f221,ratio,,dataSet
0.1003,0.0958,140,0.8548,3.31E+04,5.68E+02,2.22E+04,1.49109,,Altemus-1973
0.1003,0.0912,140,0.8652,2.54E+04,4.46E+02,2.22E+04,1.14432,,Altemus-1973
0.1003,0.0857,140,0.8775,3.26E+04,5.71E+02,2.88E+04,1.13203,,Altemus-1973
0.1003,0.0804,140,0.8893,3.45E+04,6.27E+02,3.15E+04,1.09596,,Altemus-1973
0.1003,0.0751,140,0.901,3.96E+04,7.19E+02,3.17E+04,1.24934,,Altemus-1973
0.1003,0.0698,140,0.9128,4.25E+04,8.10E+02,3.00E+04,1.41924,,Altemus-1973
0.1003,0.0645,140,0.9246,4.55E+04,9.36E+02,2.69E+04,1.68951,,Altemus-1973
0.1003,0.0592,140,0.9364,4.55E+04,1.08E+03,2.31E+04,1.97121,,Altemus-1973
0.1009,0.0907,160,0.8639,9.77E+03,3.28E+02,1.54E+04,0.63667,,Altemus-1973
0.1009,0.0855,160,0.8757,1.43E+04,4.09E+02,2.05E+04,0.69682,,Altemus-1973
0.1009,0.0803,160,0.8876,1.69E+04,4.68E+02,2.27E+04,0.74466,,Altemus-1973
0.1009,0.0747,160,0.9004,2.11E+04,5.53E+02,2.30E+04,0.91688,,Altemus-1973
0.1009,0.0695,160,0.912,2.37E+04,6.17E+02,2.20E+04,1.07788,,Altemus-1973
0.1009,0.0643,160,0.9238,2.53E+04,6.81E+02,2.00E+04,1.26428,,Altemus-1973
0.1009,0.0593,160,0.9352,2.62E+04,7.44E+02,2.00E+04,1.30912,,Altemus-1973
0.1009,0.0593,160,0.9352,2.62E+04,7.44E+02,1.75E+04,1.49404,,Altemus-1973
0.12,0.11,140,0.8525,1.50E+04,7.60E+02,1.52E+04,0.98678,,Meziani-1984is
0.12,0.1,140,0.8755,2.06E+04,1.09E+03,2.37E+04,0.86986,,Meziani-1984is
0.12,0.09,140,0.8985,2.42E+04,1.40E+03,2.65E+04,0.91163,,Meziani-1984is
0.12,0.08,140,0.9215,2.67E+04,1.74E+03,2.47E+04,1.08075,,Meziani-1984is
0.12,0.07,140,0.9445,2.35E+04,1.87E+03,2.02E+04,1.16331,,Meziani-1984is
0.12,0.11,90,0.8727,2.11E+05,1.26E+04,1.03E+05,2.04477,,Meziani-1984is
0.12,0.1,90,0.8939,2.03E+05,1.32E+04,1.21E+05,1.67893,,Meziani-1984is
0.12,0.09,90,0.9151,1.46E+05,1.29E+04,1.10E+05,1.3326,,Meziani-1984is
0.12,0.08,90,0.9362,1.06E+05,1.47E+04,8.37E+04,1.26665,,Meziani-1984is
0.12,0.07,90,0.9574,4.54E+04,1.73E+04,5.72E+04,0.79361,,Meziani-1984is
0.1305,0.1216,140,0.8409,9.54E+03,1.56E+02,1.33E+04,0.7162,,Altemus-1973
0.1305,0.1181,140,0.8492,1.09E+04,1.16E+02,1.33E+04,0.82172,,Altemus-1973
0.1305,0.107,140,0.8752,1.80E+04,1.83E+02,2.17E+04,0.82891,,Altemus-1973
0.1305,0.1017,140,0.8875,2.00E+04,2.01E+02,2.36E+04,0.84802,,Altemus-1973
0.1305,0.0964,140,0.8998,2.20E+04,2.19E+02,2.43E+04,0.90372,,Altemus-1973
0.1305,0.0888,140,0.9177,2.46E+04,2.84E+02,2.36E+04,1.04258,,Altemus-1973
0.1305,0.0859,140,0.9245,2.60E+04,3.00E+02,2.36E+04,1.10498,,Altemus-1973
0.1305,0.0888,140,0.9177,2.46E+04,2.84E+02,2.28E+04,1.07667,,Altemus-1973
0.1305,0.0859,140,0.9245,2.60E+04,3.00E+02,2.28E+04,1.14112,,Altemus-1973
0.1305,0.0806,140,0.9369,2.65E+04,3.21E+02,2.10E+04,1.25914,,Altemus-1973
0.1305,0.0753,140,0.9492,2.63E+04,3.43E+02,1.89E+04,1.39115,,Altemus-1973
0.1305,0.07,140,0.9617,2.22E+04,3.50E+02,1.66E+04,1.34008,,Altemus-1973
0.1305,0.0647,140,0.974,2.00E+04,3.82E+02,1.43E+04,1.39739,,Altemus-1973
