E0,Ep,theta,Q2,xs,err,f1f221,ratio,Unnamed: 8,dataSet,Veff,Eeff,nu,Ep_eff,ThetaRad,sin2(T/2),cos2(T/2),tan2(T/2),nuel,Ex,Q2eff,qv2,qv,w2,w2_O
0.1003,0.0958,140.0,0.033938923764750085,33100.0,568.0,22200.0,1.49109,,Altemus-1973,0.0089,0.1092,0.004500000000000004,0.1047,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.004160559895278609,0.04038321993769124,0.04040346993769124,0.20100614402970682,0.8484174595913088,0.8548617557642499
0.1003,0.0912,140.0,0.032309288594417625,25400.0,446.0,22200.0,1.14432,,Altemus-1973,0.0089,0.1092,0.009099999999999997,0.10010000000000001,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.008760559895278602,0.038608981048356195,0.0386917910483562,0.1967022903993652,0.8588238100806438,0.8651235025345824
0.1003,0.0857,140.0,0.030360811760324454,32600.0,571.0,28800.0,1.13203,,Altemus-1973,0.0089,0.1092,0.014600000000000002,0.0946,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.014260559895278607,0.036487608463281675,0.03670076846328167,0.1915744462690201,0.8712661856657183,0.8773929823686756
0.1003,0.0804,140.0,0.028483188629289218,34500.0,627.0,31500.0,1.09596,,Altemus-1973,0.0089,0.1092,0.0199,0.0893,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.019560559895278606,0.0344433766994826,0.034839386699482604,0.18665311864387,0.8832561112295174,0.8892162992997108
0.1003,0.0751,140.0,0.026605565498253984,39600.0,719.0,31700.0,1.24934,,Altemus-1973,0.0089,0.1092,0.0252,0.084,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.024860559895278606,0.03239914493568352,0.033034184935683525,0.18175308782984548,0.8952460367933165,0.901039616230746
0.1003,0.0698,140.0,0.02472794236721875,42500.0,810.0,30000.0,1.41924,,Altemus-1973,0.0089,0.1092,0.0305,0.0787,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.030160559895278605,0.03035491317188444,0.03128516317188444,0.17687612380387704,0.9072359623571156,0.9128629331617812
0.1003,0.0645,140.0,0.022850319236183518,45500.0,936.0,26900.0,1.68951,,Altemus-1973,0.0089,0.1092,0.0358,0.0734,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.035460559895278604,0.028310681408085365,0.029592321408085365,0.1720241884389674,0.9192258879209146,0.9246862500928165
0.1003,0.0592,140.0,0.02097269610514828,45500.0,1080.0,23100.0,1.97121,,Altemus-1973,0.0089,0.1092,0.0411,0.06810000000000001,2.443460952792061,0.8830222215594888,0.11697777844051105,7.548632170413027,0.00033944010472139463,0.0407605598952786,0.026266449644286285,0.027955659644286285,0.16719946065788097,0.9312158134847138,0.9365095670238518
0.1009,0.0907,160.0,0.03550269835832589,9770.0,328.0,15400.0,0.63667,,Altemus-1973,0.0089,0.10980000000000001,0.0102,0.09960000000000001,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.00982284422746657,0.04242526735264872,0.04252930735264872,0.20622634980198024,0.8570717243763513,0.8639942933706741
0.1009,0.0855,160.0,0.03346726250977799,14300.0,409.0,20500.0,0.69682,,Altemus-1973,0.0089,0.10980000000000001,0.015399999999999997,0.09440000000000001,2.792526803190927,0.9698463103929541,0.03015368960704583,32.16343747752632,0.00037715577253343013,0.015022844227466567,0.040210293555120874,0.040447453555120874,0.20111552290939871,0.8690447373738792,0.8757877684192221
